Root,TotalCount,Variations,Examples
宜譜,2,2,"伊勢天照皇大神官禰宜譜(1), 大神宮禰宜譜(1)"
山譜,2,2,"唐詩盆山譜(1), 小山譜(1)"
元譜,2,2,"彙纂元譜(1), 新納忠元譜(1)"
尚譜,2,2,"光尚譜(1), 楚州和尚譜(1)"
帋譜,2,2,"國朝帋譜(1), 草双紙褾帋譜(1)"
筭譜,2,1,社盟筭譜(2)
營譜,2,1,柳營譜(2)
射譜,2,1,宮城縣全圖暗射譜(2)
切譜,2,1,一節切譜(2)
意譜,2,2,"西秦樂意譜(1), 西秦楽意譜(1)"
甫譜,2,1,初禁甫譜(2)
掾譜,2,1,常陸大掾譜(2)
章譜,2,2,"声明曲方章譜(1), 諸藩旗章譜(1)"
清譜,2,2,"新納忠清譜(1), 小部正清譜(1)"
見譜,2,2,"初音旦御目見譜(1), 里見譜(1)"
巻譜,2,2,"琵琶四巻譜(1), 鷹十巻譜(1)"
部譜,2,2,"平家琵琶一部譜(1), 長曾我部譜(1)"
信譜,2,2,"竜造寺隆信譜(1), 山王院大師黄不動印信譜(1)"
遊譜,2,2,"東遊譜(1), 御遊譜(1)"
聖譜,2,1,至聖譜(2)
寺譜,2,2,"伊庭石巻石寺譜(1), 大覚寺譜(1)"
自譜,2,2,"橘窓自譜(1), 甘南中大刀自譜(1)"
瀚譜,2,1,藩瀚譜(2)
付譜,2,1,延享元年以来御徒目付譜(2)
普譜,2,2,"奥向御普譜(1), 組合普譜(1)"
判譜,2,2,"御判譜(1), 竹園御判譜(1)"
傳譜,2,2,"圓光大師略傳譜(1), 印法正傳譜(1)"
経譜,2,2,"算家経譜(1), 大蔵経譜(1)"
極譜,2,2,"挿花太極譜(1), 大極譜(1)"
雕譜,2,1,虫雕譜(2)
煙譜,1,1,煙譜(1)
三譜,1,1,三譜(1)
狗譜,1,1,狗譜(1)
鏡譜,1,1,鏡譜(1)
茅譜,1,1,茅譜(1)
鬴譜,1,1,鬴譜(1)
版譜,1,1,版譜(1)
簡譜,1,1,簡譜(1)
菽譜,1,1,菽譜(1)
松譜,1,1,松譜(1)
醫譜,1,1,醫譜(1)
賦譜,1,1,賦譜(1)
綿譜,1,1,綿譜(1)
棊譜,1,1,棊譜(1)
市譜,1,1,市譜(1)
修譜,1,1,修譜(1)
地譜,1,1,地譜(1)
改譜,1,1,改譜(1)
卉譜,1,1,画伝四集竹蟲華卉譜(1)
雄譜,1,1,英雄譜(1)
牋譜,1,1,栄宝斎新記詩牋譜(1)
母譜,1,1,墨母譜(1)
リ譜,1,1,唐船棹之掛リ譜(1)
形譜,1,1,諸星真形譜(1)
業譜,1,1,於歌道成業譜(1)
穴譜,1,1,四穴譜(1)
首譜,1,1,郢曲十首譜(1)
破譜,1,1,五常楽序三台破西王楽破譜(1)
蔵譜,1,1,御秘蔵譜(1)
維譜,1,1,歌楽維譜(1)
帝譜,1,1,皇帝譜(1)
柿譜,1,1,蘭橘柿譜(1)
堤譜,1,1,川堤譜(1)
祝譜,1,1,賀茂社家之内宮内正祝権祝譜(1)
薩譜,1,1,菩薩譜(1)
欸譜,1,1,元明清名公欸譜(1)
定譜,1,1,明治撰定譜(1)
奏譜,1,1,歌奏譜(1)
路譜,1,1,東山道路譜(1)
庵譜,1,1,採荼庵譜(1)
依譜,1,1,藩政改革依譜(1)
同譜,1,1,並同譜(1)
記譜,1,1,西洋記譜(1)
春譜,1,1,長春譜(1)
句譜,1,1,海内弘化句譜(1)
風譜,1,1,南風譜(1)
絵譜,1,1,古人肖像図絵譜(1)
麦譜,1,1,瞿麦譜(1)
篳譜,1,1,萓陵篳譜(1)
密譜,1,1,万穐楽秘譜並採桑老舞譜並小調子密譜(1)
蛇譜,1,1,続蛇譜(1)
薓譜,1,1,藍水人薓譜(1)
盤譜,1,1,刀盤譜(1)
暦譜,1,1,茶家年暦譜(1)
建譜,1,1,藤岡鬼彌太建譜(1)
津譜,1,1,秘伝島津譜(1)
篭譜,1,1,印篭譜(1)
邨譜,1,1,鶯邨譜(1)
軍譜,1,1,將軍譜(1)
雙譜,1,1,南綾無雙譜(1)
落譜,1,1,時本軼落譜(1)
腔譜,1,1,崑腔譜(1)
塤譜,1,1,棠湖塤譜(1)
食譜,1,1,中西食譜(1)
裝譜,1,1,名伶化裝譜(1)
續譜,1,1,霓裳續譜(1)
影譜,1,1,東都花容月影譜(1)
梁譜,1,1,仙臺棟梁譜(1)
嘩譜,1,1,原田甲斐喧嘩譜(1)
祕譜,1,1,明樂祕譜(1)
原譜,1,1,説文字原譜(1)
漁譜,1,1,皇和漁譜(1)
劔譜,1,1,日本古劔譜(1)
號譜,1,1,國朝年號譜(1)
靈譜,1,1,虚無僧縁起并三虚靈譜(1)
巴譜,1,1,高麗遠楽比巴譜(1)
独譜,1,1,三絃独譜(1)
帖譜,1,1,十三帖譜(1)
承譜,1,1,声明相承譜(1)
窠譜,1,1,僊窠譜(1)
死譜,1,1,戦死譜(1)
成譜,1,1,水野勝成譜(1)
両譜,1,1,蘇合一具笙箏両譜(1)
逑譜,1,1,好逑譜(1)
尭譜,1,1,新納忠尭譜(1)
秀譜,1,1,新納忠秀譜(1)
辰譜,1,1,彦山歴代及名匠忌辰譜(1)
増譜,1,1,白増譜(1)
白譜,1,1,表白譜(1)
乱譜,1,1,平岩流乱譜(1)
響譜,1,1,方響譜(1)
讃譜,1,1,梵讃譜(1)
息譜,1,1,毎息譜(1)
旧譜,1,1,倭舞旧譜(1)
欵譜,1,1,落欵譜(1)
諺譜,1,1,俚諺譜(1)
道譜,1,1,蓮道譜(1)
戒譜,1,1,円頓戒譜(1)
鵡譜,1,1,鸚鵡譜(1)
景譜,1,1,大江家景譜(1)
保譜,1,1,大久保譜(1)
栗譜,1,1,小栗譜(1)
条譜,1,1,小田原北条譜(1)
下譜,1,1,御目見以下譜(1)
登譜,1,1,於毛登譜(1)
剤譜,1,1,和蘭薬剤譜(1)
繡譜,1,1,会繡譜(1)
藻譜,1,1,海藻譜(1)
士譜,1,1,加賀藩士譜(1)
灸譜,1,1,香川灸譜(1)
持譜,1,1,瞎驢山住持譜(1)
柑譜,1,1,橘柑譜(1)
茂譜,1,1,鍋嶋和泉守忠茂譜(1)
殿譜,1,1,和泉守忠茂殿譜(1)
井譜,1,1,雲井譜(1)
智譜,1,1,諸家智譜(1)
秊譜,1,1,高僧秊譜(1)
誦譜,1,1,金剛界念誦譜(1)
及譜,1,1,三巻書及譜(1)
聚譜,1,1,三宝類聚譜(1)
当譜,1,1,執当譜(1)
抄譜,1,1,諸家抄譜(1)
夫譜,1,1,諸家大夫譜(1)
呈譜,1,1,諸家呈譜(1)
籍譜,1,1,鳴琴堂秘蔵経籍譜(1)
幹譜,1,1,藩幹譜(1)
撰譜,1,1,諸役代々記撰譜(1)
逸譜,1,1,新修菅家逸譜(1)
裔譜,1,1,新撰松裔譜(1)
寿譜,1,1,真楽軒華甲寿譜(1)
祇譜,1,1,神祇譜(1)
虎譜,1,1,水虎譜(1)
役譜,1,1,水府役譜(1)
容譜,1,1,青山御流活花性容譜(1)
病譜,1,1,舌脣病譜(1)
命譜,1,1,宣命譜(1)
集譜,1,1,象伝来私集譜(1)
庭譜,1,1,続椒庭譜(1)
蝘譜,1,1,蛇蝘譜(1)
羽譜,1,1,鷹羽譜(1)
谷譜,1,1,多賀谷譜(1)
銀譜,1,1,探鑿古金銀譜(1)
藤譜,1,1,彫金後藤譜(1)
衆譜,1,1,詰衆譜(1)
西譜,1,1,戸田一西譜(1)
細譜,1,1,伊豆七島明細譜(1)
國譜,1,1,列國譜(1)
如譜,1,1,栄泉院乗如譜(1)
段譜,1,1,通七段譜(1)
憲譜,1,1,尾張得業円憲譜(1)
精譜,1,1,琴曲精譜(1)
并譜,1,1,禁裏楽器并譜(1)
重譜,1,1,五音初二三重譜(1)
練譜,1,1,太鼓教練譜(1)
荻譜,1,1,濱荻譜(1)
双譜,1,1,無双譜(1)
辞譜,1,1,唄曲辞譜(1)
遺譜,1,1,俳諧拾遺譜(1)
枝譜,1,1,茘枝譜(1)
