Root,TotalCount,Variations,Examples
鼓譜,25,12,"太鼓譜(5), 三鼓譜(4), 鼓譜(4), 五鼓譜(2), 西洋行軍鼓譜(2)..."
氏譜,23,19,"伊達氏譜(2), 小田氏譜(2), 初鎧源氏譜(2), 江州今津之城主村上氏譜(2), 釈迦氏譜(1)..."
介譜,22,8,"日本介譜(6), 梅園介譜(4), 介譜(3), 吉田平九郎先生介譜(2), 啓蒙介譜(2)..."
南譜,22,8,"暗射指南譜(10), 万国暗射図指南譜(3), 萬國暗射圖指南譜(2), 日本全圖暗射指南譜(2), 宮城暗射図指南譜(2)..."
草譜,21,11,"煙草譜(5), 雑草譜(4), 野草譜(2), 山草譜(2), 湿草譜(2)..."
梅譜,21,6,"韻勝園梅譜(8), 梅譜(7), 雪下園画梅譜(3), 花魁園梅譜(1), 画学斎梅譜(1)..."
韻譜,20,10,"許氏説文解字五音韻譜(5), 説文解字韻譜(3), 韻譜(3), 説文觧字韻譜(2), 重刊許氏説文解字五音韻譜(2)..."
棋譜,20,9,"広象棋譜(6), 唐山象棋譜(6), 廣象棋譜(2), 天保年間棋譜(1), 源吉棋譜(1)..."
蟲譜,19,4,"千蟲譜(8), 大窪蟲譜(7), 蟲譜(3), 魚蟲譜(1)"
貝譜,19,3,"魚貝譜(16), 貝譜(2), 諸貝譜(1)"
紙譜,19,3,"紙譜(17), 草双紙褾紙譜(1), 震旦紙譜(1)"
書譜,19,11,"書譜(6), 続書譜(3), 孫氏書譜(2), 定本正続書譜(1), 佩文齋書譜(1)..."
古譜,18,15,"横笛古譜(2), 鳳笙古譜(2), 御家中新古譜(2), 神楽催馬楽和琴古譜(1), 秦箏古譜(1)..."
医譜,17,6,"医譜(7), 求古館医譜(5), 日本医譜(2), 救古館医譜(1), 和漢鍼医譜(1)..."
硯譜,16,5,"硯譜(8), 和漢硯譜(3), 必端堂硯譜(2), 古硯譜(2), 古今名硯譜(1)"
蟹譜,16,3,"錦窠蟹譜(11), 蟹譜(4), 諸蟹譜(1)"
人譜,16,7,"偶人譜(5), 劉氏人譜(5), 人譜(2), 藩政改革残人譜(1), 周誉上人譜(1)..."
真譜,14,5,"江増写真譜(8), 大成写真譜(3), 真譜(1), 善本留真譜(1), 草木真譜(1)"
臣譜,14,4,"森寺藩臣譜(11), 大洲寛延藩臣譜(1), 臣譜(1), 世臣譜(1)"
字譜,13,11,"活板大字譜(3), 東國古活字譜(1), 合字譜(1), 皇帝破陣楽団乱旋国字譜(1), 国字譜(1)..."
皷譜,13,6,"皷譜(7), 万歳楽以下只拍子譜并三皷譜(2), 羯皷譜(1), 鞨皷譜(1), 鉦皷譜(1)..."
香譜,13,4,"蘇合香譜(6), 香譜(5), 岩田流香譜(1), 大東香譜(1)"
獣譜,12,7,"観文獣譜(5), 物識獣譜(2), 獣譜(1), 博物館獣譜(1), 異魚奇獣譜(1)..."
史譜,12,1,史譜(12)
国譜,12,7,"治国譜(4), 列国譜(3), 春秋列国譜(1), 日向之国譜(1), 国譜(1)..."
藩譜,12,4,"藩譜(9), 吾藩譜(1), 近江中将殿藩譜(1), 佐土原藩譜(1)"
錢譜,12,8,"新渡大錢譜(3), 國家金銀錢譜(2), 新撰錢譜(2), 朝鮮常平通寶錢譜(1), 畫錢譜(1)..."
日譜,11,7,"北行日譜(3), 地他日譜(2), 梁麗日譜(2), 日譜(1), 文久元治年間日譜(1)..."
橘譜,11,3,"桂園橘譜(7), 橘譜(3), 柑橘譜(1)"
桜譜,11,1,桜譜(11)
蓮譜,9,3,"白川侯蓮譜(4), 西園蓮譜(4), 蓮譜(1)"
蕈譜,9,5,"西園蕈譜(3), 菌蕈譜(2), 蕈譜(2), 呉蕈譜(1), 仙台蕈譜(1)"
碁譜,9,5,"碁譜(5), 当世碁譜(1), 道策門人碁譜(1), 宝暦碁譜(1), 御城碁譜(1)"
金譜,8,2,"金譜(7), 永松堂金譜(1)"
果譜,5,3,"芥子園翎毛花果譜(2), 果譜(2), 十竹斎画譜果譜(1)"
椿譜,5,2,"椿譜(3), 名物椿譜(2)"
雑譜,5,4,"雑譜(2), 高虎公一代雑譜(1), 琵琶雑譜(1), 台家雑譜(1)"
大譜,5,3,"松源大譜(3), 大譜(1), 尾陽大譜(1)"
僧譜,5,1,僧譜(5)
鶴譜,4,2,"太平鶴譜(3), 鶴譜(1)"
蝶譜,4,3,"蝶譜(2), 百蝶譜(1), 蜻蝶譜(1)"
櫻譜,4,1,櫻譜(4)
星譜,4,2,"中星譜(3), 星譜(1)"
吟譜,4,3,"吟譜(2), 平曲吟譜(1), 平志吟譜(1)"
華譜,4,2,"宋画華譜(3), 華譜(1)"
釜譜,4,2,"古今釜譜(2), 釜譜(2)"
錦譜,3,2,"錦譜(2), 雲錦譜(1)"
鮫譜,3,1,鮫譜(3)
政譜,3,3,"基政譜(1), 政譜(1), 寛政譜(1)"
瑟譜,3,1,瑟譜(3)
鯛譜,3,1,鯛譜(3)
酒譜,2,1,酒譜(2)
五譜,2,2,"三五譜(1), 五譜(1)"
髹譜,2,1,髹譜(2)
鷹譜,2,1,鷹譜(2)
龍譜,2,2,"白檍原龍譜(1), 龍譜(1)"
壺譜,2,2,"宜興瓷壺譜(1), 壺譜(1)"
煙譜,1,1,煙譜(1)
三譜,1,1,三譜(1)
狗譜,1,1,狗譜(1)
鏡譜,1,1,鏡譜(1)
茅譜,1,1,茅譜(1)
鬴譜,1,1,鬴譜(1)
版譜,1,1,版譜(1)
簡譜,1,1,簡譜(1)
菽譜,1,1,菽譜(1)
松譜,1,1,松譜(1)
醫譜,1,1,醫譜(1)
賦譜,1,1,賦譜(1)
綿譜,1,1,綿譜(1)
棊譜,1,1,棊譜(1)
市譜,1,1,市譜(1)
修譜,1,1,修譜(1)
地譜,1,1,地譜(1)
改譜,1,1,改譜(1)
藩翰譜,174,1,(No 2-char parent)
古今萬姓統譜,115,1,(No 2-char parent)
卷歴代帝王姓系統譜,92,1,(No 2-char parent)
二如亭群芳譜,59,1,(No 2-char parent)
諸家知譜,59,1,(No 2-char parent)
錦窠禾本譜,51,1,(No 2-char parent)
目八譜,49,1,(No 2-char parent)
草木性譜,38,1,(No 2-char parent)
蕭山傅氏宗譜,38,1,(No 2-char parent)
豊臣秀吉譜,38,1,(No 2-char parent)
救荒野譜,34,1,(No 2-char parent)
撫箏雅譜,33,1,(No 2-char parent)
花押譜,32,1,(No 2-char parent)
金生樹譜,32,1,(No 2-char parent)
八旗氏族通譜,32,1,(No 2-char parent)
鏨工譜,30,1,(No 2-char parent)
織田信長譜,29,1,(No 2-char parent)
錦窠羊歯譜,27,1,(No 2-char parent)
改正増補諸家知譜,26,1,(No 2-char parent)
社盟算譜,26,1,(No 2-char parent)
八旗滿洲氏族通譜,25,1,(No 2-char parent)
歴代帝王姓系統譜,23,1,(No 2-char parent)
古押譜,22,1,(No 2-char parent)
躑躅譜,21,1,(No 2-char parent)
琵琶譜,20,1,(No 2-char parent)
浪華擷芳譜,19,1,(No 2-char parent)
帝王譜,18,1,(No 2-char parent)
東音譜,18,1,(No 2-char parent)
人参譜,17,1,(No 2-char parent)
江都金工名譜,17,1,(No 2-char parent)
洪洞劉氏宗譜,17,1,(No 2-char parent)
粟嶋譜,16,1,(No 2-char parent)
竜笛仮名譜,16,1,(No 2-char parent)
篳篥譜,15,1,(No 2-char parent)
竜笛要録譜,14,1,(No 2-char parent)
印籠譜,13,1,(No 2-char parent)
廓中艶譜,13,1,(No 2-char parent)
仮面譜,13,1,(No 2-char parent)
蕭山何氏宗譜,13,1,(No 2-char parent)
帝皇略譜,13,1,(No 2-char parent)
大窪動物譜,12,1,(No 2-char parent)
柳営譜,12,1,(No 2-char parent)
順天堂算譜,12,1,(No 2-char parent)
封筒譜,11,1,(No 2-char parent)
康濟譜,11,1,(No 2-char parent)
陽川孫氏宗譜,11,1,(No 2-char parent)
紫巌譜,11,1,(No 2-char parent)
葵氏艶譜,10,1,(No 2-char parent)
群賢押譜,10,1,(No 2-char parent)
古梅園墨譜,10,1,(No 2-char parent)
弘法大師弟子譜,10,1,(No 2-char parent)
新鐫草本花詩譜,10,1,(No 2-char parent)
北詞広正譜,10,1,(No 2-char parent)
神器譜,9,1,(No 2-char parent)
全城章氏南徐派宗譜,9,1,(No 2-char parent)
南山小譜,9,1,(No 2-char parent)
芸苑譜,9,1,(No 2-char parent)
清書画人名譜,9,1,(No 2-char parent)
救荒埜譜,9,1,(No 2-char parent)
金工名譜,9,1,(No 2-char parent)
張白雲選名公扇譜,9,1,(No 2-char parent)
新鐫梅竹蘭菊四譜,9,1,(No 2-char parent)
巻救荒野譜,9,1,(No 2-char parent)
薬草略譜,8,1,(No 2-char parent)
米庵蔵筆譜,8,1,(No 2-char parent)
名家押譜,8,1,(No 2-char parent)
大坂新町遊女名譜,8,1,(No 2-char parent)
松島勝譜,8,1,(No 2-char parent)
南朝皇胤譜,7,1,(No 2-char parent)
佐野譜,7,1,(No 2-char parent)
蕭山漁臨華氏宗譜,7,1,(No 2-char parent)
古呉朱氏宗譜,7,1,(No 2-char parent)
無間鐘梅枝伝譜,7,1,(No 2-char parent)
李院扇譜,7,1,(No 2-char parent)
箏曲新譜,7,1,(No 2-char parent)
催馬楽略譜,7,1,(No 2-char parent)
直茂公三徳譜,7,1,(No 2-char parent)
大日本撰釋迦譜,6,1,(No 2-char parent)
万年青譜,6,1,(No 2-char parent)
鳳管譜,6,1,(No 2-char parent)
南海包譜,6,1,(No 2-char parent)
蕭山馬湖傅氏宗譜,6,1,(No 2-char parent)
胡氏宗譜,6,1,(No 2-char parent)
平陽汪氏九十一世支譜,6,1,(No 2-char parent)
御写本譜,6,1,(No 2-char parent)
釈迦譜,6,1,(No 2-char parent)
増訂撫箏雅譜,6,1,(No 2-char parent)
鳳鳴譜,6,1,(No 2-char parent)
声明譜,6,1,(No 2-char parent)
天瓢斎書画落款譜,6,1,(No 2-char parent)
六調子曲仮名譜,6,1,(No 2-char parent)
纐纈紺屋譜,6,1,(No 2-char parent)
清風雅譜,6,1,(No 2-char parent)
御略譜,6,1,(No 2-char parent)
袖珎譜,6,1,(No 2-char parent)
朝顔譜,5,1,(No 2-char parent)
茶花押譜,5,1,(No 2-char parent)
