Root,TotalCount,Variations,Examples
公室譜,2,1,(No 2-char parent)
中将直孝譜,2,1,(No 2-char parent)
郢曲要譜,2,1,(No 2-char parent)
柳営略譜,2,1,(No 2-char parent)
席上譜,2,1,(No 2-char parent)
虫雕譜,2,1,(No 2-char parent)
印可秘曲之譜,2,1,(No 2-char parent)
琵琶調子並譜,2,1,(No 2-char parent)
西山正流本山義伝燈血脈譜,2,1,(No 2-char parent)
月琴詞譜,2,1,(No 2-char parent)
魚山仮譜,2,1,(No 2-char parent)
遊女名譜,2,1,(No 2-char parent)
二簧工尺譜,2,1,(No 2-char parent)
