Rank,Last2 (1字+譜),Last3 (2字+譜),Last4 (3字+譜),Last5 (4字+譜),Last6 (5字+譜),Last7 (6字+譜),Last8 (7字+譜),Last9 (8字+譜)
30,面譜 (16),要略譜 (10),日本介譜 (6),楽催馬楽譜 (3),本錦絵問屋譜 (2),十五名万秋楽譜 (2),元亀年中公武略譜 (1),高麗曲並六調子曲譜 (1)
31,嶋譜 (16),笛之譜 (10),吾妻箏譜 (6),催馬楽箏譜 (3),流外能楽笛譜 (2),琶弾法口伝秘譜 (2),楽歌曲相伝書並譜 (1),破陣楽春鶯囀皇麞譜 (1)
32,新譜 (16),魚貝譜 (9),朗詠案譜 (6),歌披講之譜 (3),伏見宮琵琶譜 (2),催馬楽附物案譜 (2),正統血脈道統之譜 (1),楽団乱旋陵王荒序譜 (1)
33,書譜 (16),柳営譜 (9),蘇合香譜 (6),戦前後略譜 (3),蘿軒変古箋譜 (2),國字類聚畧方譜 (2),秋経伝長暦指掌譜 (1),調盤渉調大食調曲譜 (1)
34,尺譜 (15),賢押譜 (9),高麗楽譜 (6),下園画梅譜 (3),琵琶懐中秘譜 (2),肥前国画家略譜 (2),姉川合戦前後略譜 (1),外記先祖并武功之譜 (1)
35,按譜 (14),東音譜 (9),纈紺屋譜 (6),松風閣琴譜 (3),古刊本残頁譜 (2),渡辺崋山蘭竹譜 (1),原石上流泉啄木譜 (1),陽軍鑑合戦之巻略譜 (1)
36,王譜 (13),荒埜譜 (9),清風雅譜 (6),撥合調子譜 (3),卿催馬楽秘譜 (2),バイリオン楽譜 (1),道朝臣自筆琵琶譜 (1),御手伝諸大名衆名譜 (1)
37,梅譜 (13),草略譜 (8),琴工尺譜 (6),高麗仮名譜 (3),鳥名子舞歌譜 (2),竹洞山人人物譜 (1),浄名院琵琶説秘譜 (1),之内宮内正祝権祝譜 (1)
38,木譜 (13),海包譜 (8),観文獣譜 (5),楽肩鼓之譜 (3),鳳凰管要略譜 (2),沖縄諸島植物譜 (1),百拍子以下秘説譜 (1),至桜町院皇子女略譜 (1)
39,蟲譜 (12),神器譜 (8),投扇興譜 (5),残楽助音譜 (3),嘗会田舞歌譜 (2),錦窠灯心草科譜 (1),楽催馬楽和琴古譜 (1),刊正文対音捷要琴譜 (1)
40,硯譜 (12),皇略譜 (8),南山小譜 (5),三帖破急譜 (3),香一具仮名譜 (2),秋楽口伝仮名譜 (1),香万秋楽宗明楽譜 (1),遊神樂催馬楽風俗譜 (1)
41,俳譜 (12),秋楽譜 (8),御写本譜 (5),延只拍子譜 (3),調大食調曲譜 (2),鶯囀万秋楽本譜 (1),鳥破只拍子仮名譜 (1),蘇合香萬秋楽假名譜 (1)
42,艶譜 (11),撰楽譜 (8),高麗曲譜 (5),及催馬楽譜 (3),子譜并三皷譜 (2),楽団乱旋復訳譜 (1),和楽打球楽仮名譜 (1),聖書院合薬房略方譜 (1)
43,筒譜 (11),拍子譜 (8),琴曲指譜 (5),壱越調曲譜 (3),鳥破只拍子譜 (2),楽団乱旋国字譜 (1),及催馬楽高麗楽譜 (1),千石被仰蒙御残御譜 (1)
44,墨譜 (11),氏艶譜 (7),仮名案譜 (5),鶯囀皇麞譜 (3),譜及催馬楽譜 (2),乱旋校合竜笛譜 (1),三台破西王楽破譜 (1),石渠閣新訂名公書譜 (1)
45,本譜 (11),園梅譜 (7),篥仮名譜 (5),笛仮名案譜 (3),越調平調曲譜 (2),楽団乱旋竜笛譜 (1),塩承和楽十天楽譜 (1),和歌師資相伝血脉譜 (1)
46,濟譜 (11),園橘譜 (7),松島勝譜 (5),次第笛之譜 (3),調盤渉調曲譜 (2),楽団乱旋篳篥譜 (1),調平調盤渉調曲譜 (1),伝正流血脉道統之譜 (1)
47,小譜 (11),朝顔譜 (7),新刀銘譜 (4),古今紅葉譜 (3),調子品橃合譜 (2),竜野城主歴代譜 (1),壱越調盤渉調曲譜 (1),縄県下沖縄島草木譜 (1)
48,皷譜 (11),齋琴譜 (7),万年青譜 (4),秦箏要録譜 (3),麗竜外五曲譜 (2),人真蹟短冊名譜 (1),麗曲並六調子曲譜 (1),老舞譜並小調子密譜 (1)
49,方譜 (11),太鼓譜 (7),大窪蟲譜 (4),白川侯蓮譜 (2),観微旨掌中譜 (2),唐船棹之掛リ譜 (1),陣楽春鶯囀皇麞譜 (1),俗御再興以来新作譜 (1)
50,橘譜 (10),家押譜 (7),道統之譜 (4),叢草木葉譜 (2),人長舞曲秘譜 (2),亀年中公武略譜 (1),団乱旋陵王荒序譜 (1),天照皇大神官禰宜譜 (1)
51,貝譜 (10),附物譜 (7),諸門跡譜 (4),島山艸木譜 (2),鍋島直茂公譜 (2),東照大権現御譜 (1),太食調及催馬楽譜 (1),兪粟廬自書唱片曲譜 (1)
52,巌譜 (10),声明譜 (7),格五新譜 (4),西艸木名譜 (2),曲及延喜楽譜 (2),催馬楽並朗詠譜 (1),盤渉調大食調曲譜 (1),達氏歴代並公族略譜 (1)
53,韻譜 (10),曲新譜 (7),廓中艶譜 (4),蒹葭堂竹譜 (2),鐘調盤渉調譜 (2),歌曲相伝書並譜 (1),催馬楽及将律音譜 (1),守綱村家中騷動之譜 (1)
54,詞譜 (10),神楽譜 (7),神楽歌譜 (4),草木写生譜 (2),捷要真伝琴譜 (2),統血脈道統之譜 (1),支那皇帝護宗略譜 (1),田村宗良流刑閉門譜 (1)
55,国譜 (10),楽略譜 (7),楽附物譜 (4),本諸州薬譜 (2),笛高麗秘曲譜 (2),経伝長暦指掌譜 (1),記先祖并武功之譜 (1),無僧縁起并三虚靈譜 (1)
56,調譜 (10),右舞譜 (7),語断続譜 (4),穀精草科譜 (2),五十五曲之譜 (2),川合戦前後略譜 (1),軍鑑合戦之巻略譜 (1),家雅楽伝授書並楽譜 (1)
57,藩譜 (10),印籠譜 (6),宗要略譜 (4),帝破陣楽譜 (2),五名万秋楽譜 (2),石上流泉啄木譜 (1),手伝諸大名衆名譜 (1),会法則博士習所仮譜 (1)
58,ノ譜 (10),鳳管譜 (6),直茂公譜 (4),合香竜笛譜 (2),雪登齋点俳譜 (2),朝臣自筆琵琶譜 (1),内宮内正祝権祝譜 (1),調盤渉調撥合調子譜 (1)
59,埜譜 (10),本介譜 (6),管絃按譜 (4),融斎翎毛譜 (2),歴代大仏師譜 (2),名院琵琶説秘譜 (1),桜町院皇子女略譜 (1),蘇合香一具笛撃物譜 (1)
60,獣譜 (9),氏支譜 (6),陵王舞譜 (4),文庫之秘譜 (2),弾法口伝秘譜 (2),拍子以下秘説譜 (1),五十三楽糸竹合譜 (1),品及蘓香合万秋楽譜 (1)
61,管譜 (9),鳳鳴譜 (6),桑老舞譜 (4),神人眼睫譜 (2),鳳簫調子安譜 (2),輪台青海波舞譜 (1),正文対音捷要琴譜 (1),小田氏譜付笠間氏譜 (1)
62,字譜 (9),妻箏譜 (6),魏氏樂譜 (4),錦絵問屋譜 (2),琴学心声諧譜 (2),催馬楽和琴古譜 (1),神樂催馬楽風俗譜 (1),原胖秋鳳笙只拍子譜 (1)
63,営譜 (9),曲笛譜 (6),聲光詞譜 (4),外能楽笛譜 (2),増訂南海包譜 (2),万秋楽宗明楽譜 (1),合香萬秋楽假名譜 (1),良辨闍梨書伽陀仮譜 (1)
64,香譜 (9),詠案譜 (6),明清樂譜 (4),見宮琵琶譜 (2),説文觧字韻譜 (2),破只拍子仮名譜 (1),書院合薬房略方譜 (1),八十八曲竜笛仮字譜 (1)
65,勝譜 (9),舞歌譜 (6),人墨竹譜 (4),朗詠伝授譜 (2),高麗楽仮名譜 (2),楽打球楽仮名譜 (1),朝鮮常平通寶錢譜 (1),還城楽芝家伝来舞譜 (1)
66,氏譜 (8),合香譜 (6),秋鳳笙譜 (4),和歌披講譜 (2),馬楽附物案譜 (2),雙調大食調曲譜 (1),石被仰蒙御残御譜 (1),平調黄鐘調太食調譜 (1)
67,銘譜 (8),麗楽譜 (6),催馬樂譜 (4),三極秘曲譜 (2),神伝八雲琴譜 (2),催馬楽高麗楽譜 (1),一絃琴四季今様譜 (1),万秋楽蘇合香大曲譜 (1)
68,草譜 (8),紺屋譜 (6),梅園介譜 (3),軒変古箋譜 (2),左方舞曲按譜 (2),壱越調曲仮名譜 (1),釈尊応世編年略譜 (1),楽秘譜并採桑老舞譜 (1)
69,包譜 (8),点俳譜 (6),西園蓮譜 (3),琶懐中秘譜 (2),西洋行軍鼓譜 (2),台破西王楽破譜 (1),渠閣新訂名公書譜 (1),秋楽鳳笙琵琶対照譜 (1)
70,器譜 (8),名案譜 (6),花園墨譜 (3),刊本残頁譜 (2),字類聚畧方譜 (2),承和楽十天楽譜 (1),古今刀劔録海棠譜 (1),景晴唐楽篳篥仮名譜 (1)
71,屋譜 (8),風雅譜 (6),一具訳譜 (3),竜笛枢要譜 (2),土真宗五派譜 (2),平調盤渉調曲譜 (1),画藪後八種四体譜 (1),主基風俗神楽歌舞譜 (1)
72,仮譜 (8),墨竹譜 (6),考鳳笙譜 (3),催馬楽秘譜 (2),清書畫人名譜 (2),越調盤渉調曲譜 (1),幼稚園保育唱歌譜 (1),和歌披講並郢曲墨譜 (1)
73,日譜 (7),龍笛譜 (6),茘枝通譜 (3),名子舞歌譜 (2),前国画家略譜 (2),曲並六調子曲譜 (1),歌師資相伝血脉譜 (1),催馬楽笛附物仮名譜 (1)
74,合譜 (7),袖珎譜 (6),園泉貨譜 (3),凰管要略譜 (2),龍笛仮名案譜 (2),乱旋陵王荒序譜 (1),正流血脉道統之譜 (1),三身座主伝法得略譜 (1)
75,葉譜 (7),文獣譜 (5),睦氏支譜 (3),会田舞歌譜 (2),印可秘曲之譜 (2),食調及催馬楽譜 (1),竹本豊竹浄瑠璃譜 (1),院大師黄不動印信譜 (1)
76,顔譜 (7),扇興譜 (5),汪氏支譜 (3),一具仮名譜 (2),定式川除御譜 (2),渉調大食調曲譜 (1),支那歴代皇后略譜 (1),元年以来御徒目付譜 (1)
77,生譜 (7),煙草譜 (5),渡更紗譜 (3),大食調曲譜 (2),琵琶調子並譜 (2),馬楽及将律音譜 (1),文久元治年間日譜 (1),楞厳経方誌釈迦氏譜 (1)
78,苑譜 (7),四生譜 (5),解字韻譜 (3),譜并三皷譜 (2),神樂催馬樂譜 (2),鳳笙譜胡絃略譜 (1),県下沖縄島草木譜 (1),処山円福寺普明院譜 (1)
79,明譜 (7),山小譜 (5),馬楽箏譜 (3),破只拍子譜 (2),辺崋山蘭竹譜 (1),那皇帝護宗略譜 (1),舞譜並小調子密譜 (1),中院流附法諸祖伝譜 (1)
80,要譜 (7),写本譜 (5),披講之譜 (3),調平調曲譜 (2),イリオン楽譜 (1),先祖并武功之譜 (1),御再興以来新作譜 (1),津川通定式川除御譜 (1)
81,蓮譜 (6),楽箏譜 (5),算法盟譜 (3),子品橃合譜 (2),洞山人人物譜 (1),鑑合戦之巻略譜 (1),照皇大神官禰宜譜 (1),内郷御定式川除御譜 (1)
82,籠譜 (6),字韻譜 (5),代講頌譜 (3),竜外五曲譜 (2),縄諸島植物譜 (1),伝諸大名衆名譜 (1),琴曲洋峨撫箏雅譜 (1),席田春庭楽回抔楽譜 (1)
83,興譜 (6),光詞譜 (5),前後略譜 (3),微旨掌中譜 (2),窠灯心草科譜 (1),国字類聚略方譜 (1),祇園新地哥妓名譜 (1),綾小路俊賀今様墨譜 (1)
84,支譜 (6),芸苑譜 (5),園画梅譜 (3),横笛中曲譜 (2),東國古活字譜 (1),宮内正祝権祝譜 (1),一笠菴北詞廣正譜 (1),清田太神宮神楽歌譜 (1)
85,鳴譜 (6),朗詠譜 (5),風閣琴譜 (3),長舞曲秘譜 (2),楽口伝仮名譜 (1),町院皇子女略譜 (1),粟廬自書唱片曲譜 (1),
86,碁譜 (6),善御譜 (5),調子品譜 (3),島直茂公譜 (2),囀万秋楽本譜 (1),元明清名公欸譜 (1),氏歴代並公族略譜 (1),
87,俗譜 (6),笛秘譜 (5),合調子譜 (3),求古館方譜 (2),団乱旋復訳譜 (1),高麗壱越調曲譜 (1),綱村家中騷動之譜 (1),
88,錢譜 (6),伝授譜 (5),麗仮名譜 (3),及延喜楽譜 (2),団乱旋国字譜 (1),十三楽糸竹合譜 (1),村宗良流刑閉門譜 (1),
89,畧譜 (6),麗曲譜 (5),管要略譜 (3),調盤渉調譜 (2),旋校合竜笛譜 (1),文対音捷要琴譜 (1),僧縁起并三虚靈譜 (1),
90,私譜 (6),楽秘譜 (5),肩鼓之譜 (3),活板大字譜 (2),団乱旋竜笛譜 (1),樂催馬楽風俗譜 (1),雅楽伝授書並楽譜 (1),
91,珎譜 (6),鼓之譜 (5),楽助音譜 (3),要真伝琴譜 (2),団乱旋篳篥譜 (1),催馬樂朗詠歌譜 (1),高麗笛秘曲仮名譜 (1),
92,源譜 (5),草木譜 (5),食調曲譜 (3),高麗秘曲譜 (2),野城主歴代譜 (1),笙回向付物ノ譜 (1),長崎奉行歴代名譜 (1),
93,椿譜 (5),曲指譜 (5),帖破急譜 (3),十五曲之譜 (2),真蹟短冊名譜 (1),香萬秋楽假名譜 (1),法則博士習所仮譜 (1),
94,桜譜 (5),郢曲譜 (5),平調曲譜 (3),名万秋楽譜 (2),船棹之掛リ譜 (1),院合薬房略方譜 (1),盤渉調撥合調子譜 (1),
95,州譜 (5),風俗譜 (5),越調曲譜 (3),高麗篳篥譜 (2),年中公武略譜 (1),鮮常平通寶錢譜 (1),蘇合一具笙箏両譜 (1),
