Rank,Last2 (1字+譜),Last3 (2字+譜),Last4 (3字+譜),Last5 (4字+譜),Last6 (5字+譜),Last7 (6字+譜),Last8 (7字+譜),Last9 (8字+譜)
139,品譜 (3),蘭竹譜 (3),人眼睫譜 (2),洞簫表曲譜 (2),院皇子女略譜 (1),楽伝授書並楽譜 (1),小路俊賀今様墨譜 (1),
140,急譜 (3),園介譜 (3),横笛略譜 (2),樂催馬樂譜 (2),明清名公欸譜 (1),麗笛秘曲仮名譜 (1),越天楽五聖楽私譜 (1),
141,麞譜 (3),園蓮譜 (3),絵問屋譜 (2),二簧工尺譜 (2),麗壱越調曲譜 (1),仕着模様振袖譜 (1),応師衆経音義韻譜 (1),
142,師譜 (3),園墨譜 (3),鳳鼓秘譜 (2),崋山蘭竹譜 (1),三楽糸竹合譜 (1),崎奉行歴代名譜 (1),田太神宮神楽歌譜 (1),
143,声譜 (3),草科譜 (3),能楽笛譜 (2),リオン楽譜 (1),本朝琵琶案譜 (1),称名寺声明古譜 (1),唐音和解音曲笛譜 (1),
144,璃譜 (3),具訳譜 (3),葭笛秘譜 (2),山人人物譜 (1),対音捷要琴譜 (1),声明并伽陀仮譜 (1),グレゴリオ聖歌譜 (1),
145,累譜 (3),枝通譜 (3),浪曲秘譜 (2),諸島植物譜 (1),催馬楽風俗譜 (1),則博士習所仮譜 (1),注大家竜笛要録譜 (1),
146,吟譜 (3),泉貨譜 (3),駿藩名譜 (2),遠山氏介譜 (1),左方舞曲案譜 (1),渉調撥合調子譜 (1),,
147,錦譜 (3),更紗譜 (3),朗詠秘譜 (2),諸勝名所譜 (1),馬樂朗詠歌譜 (1),蘇合一具撃物譜 (1),,
148,筆譜 (3),蹴鞠譜 (3),宮琵琶譜 (2),灯心草科譜 (1),回向付物ノ譜 (1),合一具笙箏両譜 (1),,
149,丁譜 (3),講之譜 (3),詠伝授譜 (2),國古活字譜 (1),笙蘇合香笙譜 (1),香一具笛撃物譜 (1),,
150,柱譜 (3),楽笛譜 (3),歌披講譜 (2),口伝仮名譜 (1),六調子琵琶譜 (1),合香一具鳳笙譜 (1),,
151,体譜 (3),中星譜 (3),三曲秘譜 (2),万秋楽本譜 (1),萬秋楽假名譜 (1),蘇合香羯鼓之譜 (1),,
152,華譜 (3),打物譜 (3),極秘曲譜 (2),乱旋復訳譜 (1),合薬房略方譜 (1),徳生軒内科方譜 (1),,
153,脉譜 (3),法盟譜 (3),笛秘曲譜 (2),乱旋国字譜 (1),常平通寶錢譜 (1),蘓香合万秋楽譜 (1),,
154,丹譜 (3),講頌譜 (3),横笛古譜 (2),校合竜笛譜 (1),吉備楽太鼓譜 (1),氏譜付笠間氏譜 (1),,
155,刀譜 (3),披講譜 (3),古錦綺譜 (2),乱旋竜笛譜 (1),異国往来略譜 (1),豊原量秋鳳笙譜 (1),,
156,聲譜 (3),後略譜 (3),変古箋譜 (2),乱旋篳篥譜 (1),着摸様振袖譜 (1),豊原繁秋鳳笙譜 (1),,
157,派譜 (3),啄木譜 (3),懐中秘譜 (2),城主歴代譜 (1),肥前国長崎譜 (1),豊原竜秋鳳笙譜 (1),,
158,絃譜 (3),続書譜 (3),琵琶御譜 (2),蹟短冊名譜 (1),仰蒙御残御譜 (1),秋鳳笙只拍子譜 (1),,
159,瑟譜 (3),画梅譜 (3),和琴之譜 (2),棹之掛リ譜 (1),藩政改革依譜 (1),豊原幸秋鳳笙譜 (1),,
160,僧譜 (3),鸚哥譜 (3),三五秘譜 (2),中公武略譜 (1),笙笛並大鼓譜 (1),内宮御田祭歌譜 (1),,
161,鶴譜 (2),子品譜 (3),本残頁譜 (2),諸星真形譜 (1),天王寺觱楽譜 (1),侍所御神楽歌譜 (1),,
162,藷譜 (2),助音譜 (3),笛枢要譜 (2),大権現御譜 (1),五調郢曲秘譜 (1),山進流声明私譜 (1),,
163,蜻譜 (2),破急譜 (3),馬楽秘譜 (2),歌道成業譜 (1),春鶯囀鳳笙譜 (1),闍梨書伽陀仮譜 (1),,
164,酒譜 (2),皇麞譜 (3),子舞歌譜 (2),青蓮院宮譜 (1),鶯囀琵琶古譜 (1),波多野流平曲譜 (1),,
165,所譜 (2),甘州譜 (3),田舞歌譜 (2),森田流笛譜 (1),竜笛仮名案譜 (1),八曲竜笛仮字譜 (1),,
166,薬譜 (2),五曲譜 (3),具仮名譜 (2),読書作文譜 (1),篳篥仮名案譜 (1),初音旦御目見譜 (1),,
167,毛譜 (2),菓子譜 (3),并三皷譜 (2),春秋列国譜 (1),胡飲酒舞案譜 (1),楽芝家伝来舞譜 (1),,
168,戸譜 (2),中曲譜 (3),品橃合譜 (2),諸門跡之譜 (1),神景光自筆譜 (1),家流八十八曲譜 (1),,
169,文譜 (2),蘆声譜 (3),団乱旋譜 (2),水戸外戚譜 (1),催馬楽笛古譜 (1),東儀立合右舞譜 (1),,
170,睫譜 (2),瑠璃譜 (3),胡絃略譜 (2),楽並朗詠譜 (1),並東遊諸歌譜 (1),林広猶懐中笙譜 (1),,
171,戚譜 (2),唱歌譜 (3),柳花苑譜 (2),馬楽曲笛譜 (1),生居月琴詞譜 (1),黄鐘調太食調譜 (1),,
172,叙譜 (2),琶按譜 (3),雙調曲譜 (2),相伝書並譜 (1),琴四季今様譜 (1),藤原定輔琵琶譜 (1),,
173,上譜 (2),笛案譜 (3),旨掌中譜 (2),春斎自叙譜 (1),応世編年略譜 (1),観生居一絃琴譜 (1),,
174,綺譜 (2),曲案譜 (3),笛中曲譜 (2),山史小説譜 (1),新訂名公書譜 (1),家伝授四大曲譜 (1),,
175,頁譜 (2),假名譜 (3),大成銘譜 (2),東坡画竹譜 (1),催馬楽篳篥譜 (1),平家琵琶一部譜 (1),,
176,序譜 (2),臣小譜 (3),舞曲秘譜 (2),山忠能略譜 (1),篳篥箏平調譜 (1),耆大山引声墨譜 (1),,
177,旋譜 (2),函名譜 (3),古館方譜 (2),宜陽殿竹譜 (1),上総介斎良譜 (1),鳳笙管弦之秘譜 (1),,
178,点譜 (2),鼓略譜 (3),延喜楽譜 (2),神歌肩鼓譜 (1),刀劔録海棠譜 (1),北庭楽外五曲譜 (1),,
179,真譜 (2),琴詞譜 (3),盤渉調譜 (2),樹人洞門譜 (1),山田流筝曲譜 (1),歳楽只拍子箏譜 (1),,
180,髹譜 (2),箏曲譜 (3),板大字譜 (2),帰黙斎方譜 (1),虎公一代雑譜 (1),歳楽只拍子笛譜 (1),,
181,照譜 (2),嬬筝譜 (3),糸竹合譜 (2),長暦指掌譜 (1),後八種四体譜 (1),楽蘇合香大曲譜 (1),,
182,林譜 (2),筝雅譜 (3),青山琴譜 (2),流泉啄木譜 (1),川家旗章略譜 (1),譜并採桑老舞譜 (1),,
183,袖譜 (2),行日譜 (3),真伝琴譜 (2),自筆琵琶譜 (1),海内弘化句譜 (1),鳳笙琵琶対照譜 (1),,
184,稚譜 (2),雅琴譜 (3),琵琶ノ譜 (2),本正続書譜 (1),園保育唱歌譜 (1),倭歌并巫子舞譜 (1),,
185,様譜 (2),庖丁譜 (3),麗秘曲譜 (2),琴調子秘譜 (1),天王寺篳篥譜 (1),唐楽篳篥仮名譜 (1),,
186,彩譜 (2),膠柱譜 (3),篳篥略譜 (2),必端堂硯譜 (1),資相伝血脉譜 (1),風俗神楽歌舞譜 (1),,
187,牌譜 (2),牡丹譜 (3),篳篥本譜 (2),琵琶説秘譜 (1),血脉道統之譜 (1),羅陵王荒序笙譜 (1),,
188,鮫譜 (2),篥之譜 (3),五曲之譜 (2),以下秘説譜 (1),豊竹浄瑠璃譜 (1),陵王荒序鳳笙譜 (1),,
189,諧譜 (2),華押譜 (3),鳳笙略譜 (2),青海波舞譜 (1),泰西王氏銃譜 (1),陵王荒序舞秘譜 (1),,
190,棠譜 (2),紅葉譜 (3),麗篳篥譜 (2),楽和琴古譜 (1),歴代皇后略譜 (1),理趣経々頭私譜 (1),,
191,鷹譜 (2),迦氏譜 (2),竜笛案譜 (2),大和舞歌譜 (1),元治年間日譜 (1),竜笛大曲仮名譜 (1),,
192,作譜 (2),漢硯譜 (2),舞曲案譜 (2),楽宗明楽譜 (1),沖縄島草木譜 (1),王破新羅陵王譜 (1),,
193,釜譜 (2),百合譜 (2),左舞按譜 (2),拍子仮名譜 (1),人肖像図絵譜 (1),時祭舞人輪作譜 (1),,
194,宜譜 (2),侯蓮譜 (2),合香笙譜 (2),球楽仮名譜 (1),神楽篳篥之譜 (1),公御作古言調譜 (1),,
195,山譜 (2),霜葉譜 (2),明清楽譜 (2),楽高麗楽譜 (1),並小調子密譜 (1),披講並郢曲墨譜 (1),,
196,南譜 (2),茎銘譜 (2),烈公略譜 (2),郢曲十首譜 (1),中絃只拍子譜 (1),阿淡御両国御譜 (1),,
197,正譜 (2),物椿譜 (2),箏曲秘譜 (2),調曲仮名譜 (1),興以来新作譜 (1),近江中将殿藩譜 (1),,
198,帋譜 (2),平鶴譜 (2),丑朝顔譜 (2),西王楽破譜 (1),附甲斐少将譜 (1),浄土真宗五派譜 (1),,
199,筭譜 (2),諸州譜 (2),齋点俳譜 (2),楽十天楽譜 (1),児島県草木譜 (1),大家龍笛要録譜 (1),,
200,別譜 (2),園蕈譜 (2),日本俳譜 (2),名尊席田譜 (1),明人芸林名譜 (1),四天王腕磨名譜 (1),,
201,營譜 (2),種藷譜 (2),誹檀林譜 (2),陵王荒序譜 (1),阿弥三家刀譜 (1),楽笛附物仮名譜 (1),,
202,切譜 (2),木葉譜 (2),様振袖譜 (2),篳篥伝授譜 (1),大神官禰宜譜 (1),龍笛序遠曲秘譜 (1),,
203,意譜 (2),菌蕈譜 (2),音梵唄譜 (2),馬楽琵琶譜 (1),大神宮禰宜譜 (1),圓光大師略傳譜 (1),,
204,巻譜 (2),木実譜 (2),大仏師譜 (2),太食調曲譜 (1),矛鑓起源略譜 (1),嵯峨二尊院略譜 (1),,
205,政譜 (2),蝶蜻譜 (2),郢曲秘譜 (2),帝団乱旋譜 (1),洋峨撫箏雅譜 (1),真田歴代法号譜 (1),,
206,巖譜 (2),識獣譜 (2),三五之譜 (2),万秋楽箏譜 (1),本阿弥家刀譜 (1),剛峯寺検校略譜 (1),,
207,遊譜 (2),艸木譜 (2),口伝秘譜 (2),両只拍子譜 (1),鳥居家中興譜 (1),座主伝法得略譜 (1),,
208,利譜 (2),木名譜 (2),笛要略譜 (2),及将律音譜 (1),大坪流善御譜 (1),師黄不動印信譜 (1),,
209,院譜 (2),堂竹譜 (2),鳳笙古譜 (2),譜胡絃略譜 (1),岡鬼彌太建譜 (1),明楽歌声腔調譜 (1),,
210,瀚譜 (2),野草譜 (2),鳳笙稚譜 (2),皇帝私案譜 (1),直茂公三徳譜 (1),尊應世編年略譜 (1),,
211,歴譜 (2),写生譜 (2),調子安譜 (2),帝護宗略譜 (1),親得度者略譜 (1),八戸諸士古新譜 (1),,
212,号譜 (2),夏木譜 (2),左舞曲譜 (2),乎古止点譜 (1),雅楽名調楽譜 (1),以来御徒目付譜 (1),,
213,経譜 (2),蒙介譜 (2),遊諸歌譜 (2),并武功之譜 (1),家中古今之譜 (1),征西大将軍宮譜 (1),,
214,雄譜 (1),州薬譜 (2),曲附物譜 (2),蝦夷草木譜 (1),新地哥妓名譜 (1),身成仏義得略譜 (1),,
215,張譜 (1),陣楽譜 (2),一絃琴譜 (2),戦之巻略譜 (1),文解字篆韻譜 (1),城暗射図指南譜 (1),,
216,リ譜 (1),国字譜 (2),新葉雅譜 (2),陽軍鑑略譜 (1),岡流烽火全譜 (1),経方誌釈迦氏譜 (1),,
217,煙譜 (1),翎毛譜 (2),編年略譜 (2),大名衆名譜 (1),秘曲明清樂譜 (1),円福寺普明院譜 (1),,
218,平譜 (1),田安譜 (2),小袖累譜 (2),蘆声抄略譜 (1),清樂曲牌雅譜 (1),流附法諸祖伝譜 (1),,
219,形譜 (1),水戸譜 (2),外蕃旗譜 (2),声集仮名譜 (1),戈榮慶社曲譜 (1),中朝歴代帝王譜 (1),,
220,業譜 (1),歴代譜 (2),心声諧譜 (2),策門人碁譜 (1),菴北詞廣正譜 (1),日光東遊諸歌譜 (1),,
221,籌譜 (1),奏箏譜 (2),鄭膠柱譜 (2),類聚略方譜 (1),自書唱片曲譜 (1),通定式川除御譜 (1),,
222,掌譜 (1),眼睫譜 (2),孫氏書譜 (2),心血脈之譜 (1),玉堂先生琴譜 (1),御定式川除御譜 (1),,
223,穴譜 (1),自叙譜 (2),方氏墨譜 (2),正祝権祝譜 (1),融斎四君子譜 (1),春庭楽回抔楽譜 (1),,
224,五譜 (1),問屋譜 (2),宋画華譜 (2),皇子女略譜 (1),代並公族略譜 (1),路俊賀今様墨譜 (1),,
225,首譜 (1),鼓秘譜 (2),觧字韻譜 (2),清名公欸譜 (1),版袖寶古錢譜 (1),天楽五聖楽私譜 (1),,
226,破譜 (1),藩名譜 (2),日本竹譜 (2),楽糸竹合譜 (1),國家金銀錢譜 (1),師衆経音義韻譜 (1),,
227,蔵譜 (1),詠秘譜 (2),帝王御譜 (2),高麗觱篥譜 (1),家中騷動之譜 (1),太神宮神楽歌譜 (1),,
228,維譜 (1),雲上譜 (2),帝皇畧譜 (2),朝琵琶案譜 (1),田甲斐喧嘩譜 (1),観世家伝仮面譜 (1),,
229,帝譜 (1),錦綺譜 (2),物館介譜 (2),音捷要琴譜 (1),良流刑閉門譜 (1),魚山蠆芥集仮譜 (1),,
230,三譜 (1),上竹譜 (2),附物案譜 (2),馬楽風俗譜 (1),草双紙褾帋譜 (1),五音初二三重譜 (1),,
231,柿譜 (1),古箋譜 (2),古今釜譜 (2),明治撰定譜 (1),神傳八雲琴譜 (1),音和解音曲笛譜 (1),,
232,製譜 (1),中秘譜 (2),琶秘曲譜 (2),方舞曲案譜 (1),起并三虚靈譜 (1),レゴリオ聖歌譜 (1),,
233,綱譜 (1),琶御譜 (2),倭舞箏譜 (2),蘓草者舞譜 (1),顧氏玉篇韻譜 (1),本願寺代々略譜 (1),,
234,英譜 (1),琴之譜 (2),朗詠墨譜 (2),樂朗詠歌譜 (1),麗遠楽比巴譜 (1),大家竜笛要録譜 (1),,
235,堤譜 (1),五秘譜 (2),打物案譜 (2),向付物ノ譜 (1),高麗楽両絃譜 (1),本朝歴代年号譜 (1),,
236,祝譜 (1),越琴譜 (2),舞曲按譜 (2),調子琵琶譜 (1),伝授書並楽譜 (1),重訂合聲簡字譜 (1),,
237,蜒譜 (1),残頁譜 (2),渡大錢譜 (2),秋楽假名譜 (1),狛近真陵王譜 (1),明東皐禪師琴譜 (1),,
238,薩譜 (1),枢要譜 (2),清樂歌譜 (2),和琴楽ノ譜 (1),笛秘曲仮名譜 (1),当時名家新俳譜 (1),,
239,欸譜 (1),爪調譜 (2),雲閣曲譜 (2),薬房略方譜 (1),着模様振袖譜 (1),,,
240,定譜 (1),三皷譜 (2),黄尋聲譜 (2),佩文齋書譜 (1),奉行歴代名譜 (1),,,
241,奏譜 (1),荒序譜 (2),行軍鼓譜 (2),平通寶錢譜 (1),常行堂声明譜 (1),,,
242,革譜 (1),橃合譜 (2),花喜神譜 (2),備楽太鼓譜 (1),声明曲方章譜 (1),,,
243,路譜 (1),乱旋譜 (2),聚畧方譜 (2),位階沿革譜 (1),名寺声明古譜 (1),,,
244,庵譜 (1),懐中譜 (2),社盟筭譜 (2),国史姓名譜 (1),明并伽陀仮譜 (1),,,
245,崎譜 (1),絃略譜 (2),花詩箋譜 (2),東山道路譜 (1),博士習所仮譜 (1),,,
246,依譜 (1),花苑譜 (2),族類別譜 (2),国往来略譜 (1),龍笛假名案譜 (1),,,
247,同譜 (1),掌中譜 (2),伊達氏譜 (2),梧竹堂書譜 (1),撰定外鳳笙譜 (1),,,
248,写譜 (1),成銘譜 (2),笛假名譜 (2),摸様振袖譜 (1),調撥合調子譜 (1),,,
249,紋譜 (1),館方譜 (2),琵琶略譜 (2),前国長崎譜 (1),合一具撃物譜 (1),,,
250,記譜 (1),略方譜 (2),喪儀歌譜 (2),伝法嗣法譜 (1),一具笙箏両譜 (1),,,
251,大譜 (1),徳公譜 (2),御寫本譜 (2),蒙御残御譜 (1),一具笛撃物譜 (1),,,
252,良譜 (1),喜楽譜 (2),代帝王譜 (2),政改革依譜 (1),香一具鳳笙譜 (1),,,
253,職譜 (1),渉調譜 (2),宗五派譜 (2),笛並大鼓譜 (1),蘇合香横笛譜 (1),,,
254,春譜 (1),大字譜 (2),一節切譜 (2),王寺觱楽譜 (1),合香羯鼓之譜 (1),,,
255,狗譜 (1),竹合譜 (2),能管之譜 (2),調郢曲秘譜 (1),生軒内科方譜 (1),,,
256,親譜 (1),俗楽譜 (2),高麗笛譜 (2),書法貫通譜 (1),香合万秋楽譜 (1),,,
257,句譜 (1),山琴譜 (2),横笛之譜 (2),鶯囀鳳笙譜 (1),長秋宮横笛譜 (1),,,
258,鏡譜 (1),伝琴譜 (2),声明私譜 (2),囀琵琶古譜 (1),譜付笠間氏譜 (1),,,
259,銃譜 (1),琶ノ譜 (2),伽陀仮譜 (2),篥仮名案譜 (1),増補万国旗譜 (1),,,
260,風譜 (1),篥略譜 (2),神地神譜 (2),還城楽秘譜 (1),原量秋鳳笙譜 (1),,,
261,絵譜 (1),篥本譜 (2),畫人名譜 (2),飲酒舞案譜 (1),原繁秋鳳笙譜 (1),,,
262,茅譜 (1),笙略譜 (2),薬房方譜 (2),胡飲酒舞譜 (1),原竜秋鳳笙譜 (1),,,
263,麦譜 (1),正楽譜 (2),中小曲譜 (2),景光自筆譜 (1),鳳笙只拍子譜 (1),,,
264,篳譜 (1),香笙譜 (2),本朝箏譜 (2),神楽歌案譜 (1),原幸秋鳳笙譜 (1),,,
265,密譜 (1),舞略譜 (2),梅枝伝譜 (2),催馬楽案譜 (1),宮御田祭歌譜 (1),,,
266,将譜 (1),清楽譜 (2),古言調譜 (2),馬楽笛古譜 (1),所御神楽歌譜 (1),,,
267,侯譜 (1),璿源譜 (2),将棋新譜 (2),朝倉蛬古譜 (1),進流声明私譜 (1),,,
268,蛇譜 (1),公略譜 (2),画家略譜 (2),居月琴詞譜 (1),梨書伽陀仮譜 (1),,,
269,薓譜 (1),堂書譜 (2),郢曲要譜 (2),四季今様譜 (1),南竹臨調子譜 (1),,,
270,盤譜 (1),本俳譜 (2),秘曲之譜 (2),短笛秘伝譜 (1),多野流平曲譜 (1),,,
271,鬴譜 (1),檀林譜 (2),川除御譜 (2),大成真写譜 (1),曲竜笛仮字譜 (1),,,
272,暦譜 (1),振袖譜 (2),月居琴譜 (2),訂名公書譜 (1),音旦御目見譜 (1),,,
273,建譜 (1),仏師譜 (2),横笛楽譜 (2),馬楽篳篥譜 (1),芝家伝来舞譜 (1),,,
274,津譜 (1),五之譜 (2),調子並譜 (2),篥箏平調譜 (1),流八十八曲譜 (1),,,
275,龍譜 (1),伝秘譜 (2),簫表曲譜 (2),竜笛鳳笙譜 (1),儀立合右舞譜 (1),,,
276,篭譜 (1),笙古譜 (2),魚山仮譜 (2),総介斎良譜 (1),広猶懐中笙譜 (1),,,
277,軍譜 (1),笙稚譜 (2),遊女名譜 (2),大還閣琴譜 (1),林広貫右舞譜 (1),,,
278,落譜 (1),子安譜 (2),簧工尺譜 (2),劔録海棠譜 (1),林広貫琵琶譜 (1),,,
279,元譜 (1),五鼓譜 (2),苗城秘譜 (1),可睡斎略譜 (1),神楽和琴秘譜 (1),,,
280,腔譜 (1),左舞譜 (2),組々御譜 (1),田流筝曲譜 (1),鐘調太食調譜 (1),,,
281,塤譜 (1),楽案譜 (2),雅楽楽譜 (1),町奉行職譜 (1),琵琶引方案譜 (1),,,
282,食譜 (1),諸歌譜 (2),山蘭竹譜 (1),蒹葭堂琴譜 (1),舞楽用篳篥譜 (1),,,
283,裝譜 (1),今様譜 (2),オン楽譜 (1),公一代雑譜 (1),舞楽用鳳笙譜 (1),,,
284,續譜 (1),絃琴譜 (2),人人物譜 (1),孫過庭書譜 (1),原定輔琵琶譜 (1),,,
285,簡譜 (1),葉雅譜 (2),島植物譜 (1),八種四体譜 (1),風俗篳篥本譜 (1),,,
286,菽譜 (1),香彩譜 (2),山氏介譜 (1),家旗章略譜 (1),生居一絃琴譜 (1),,,
287,梁譜 (1),詩牌譜 (2),勝名所譜 (1),内弘化句譜 (1),伝授四大曲譜 (1),,,
288,嘩譜 (1),年略譜 (2),心草科譜 (1),漢画独楽譜 (1),家琵琶一部譜 (1),,,
289,祕譜 (1),袖累譜 (2),古活字譜 (1),保育唱歌譜 (1),大山引声墨譜 (1),,,
290,原譜 (1),蕃旗譜 (2),伝仮名譜 (1),王寺篳篥譜 (1),笙管弦之秘譜 (1),,,
291,漁譜 (1),声諧譜 (2),秋楽本譜 (1),相伝血脉譜 (1),鳳笙中小曲譜 (1),,,
292,劔譜 (1),海棠譜 (2),旋復訳譜 (1),脉道統之譜 (1),鳳笙呂律秘譜 (1),,,
293,號譜 (1),諸介譜 (2),旋国字譜 (1),善本留真譜 (1),鳳鳴抄付箏譜 (1),,,
294,靈譜 (1),統略譜 (2),旋竜笛譜 (1),竹浄瑠璃譜 (1),庭楽外五曲譜 (1),,,
295,巴譜 (1),氏書譜 (2),旋篳篥譜 (1),西王氏銃譜 (1),楽只拍子箏譜 (1),,,
296,独譜 (1),解体譜 (2),主歴代譜 (1),代皇后略譜 (1),楽只拍子笛譜 (1),,,
297,帖譜 (1),氏墨譜 (2),諸家略譜 (1),平山申氏譜 (1),蘇合香大曲譜 (1),,,
298,松譜 (1),画華譜 (2),短冊名譜 (1),治年間日譜 (1),万秋楽篳篥譜 (1),,,
299,章譜 (1),血脉譜 (2),之掛リ譜 (1),縄島草木譜 (1),并採桑老舞譜 (1),,,
300,承譜 (1),本竹譜 (2),公武略譜 (1),肖像図絵譜 (1),笙琵琶対照譜 (1),,,
301,胤譜 (1),王御譜 (2),星真形譜 (1),博物館獣譜 (1),万秋楽鳳笙譜 (1),,,
302,両譜 (1),皇畧譜 (2),権現御譜 (1),楽篳篥之譜 (1),山田流箏曲譜 (1),,,
303,長譜 (1),館介譜 (2),将軍略譜 (1),小調子密譜 (1),歌并巫子舞譜 (1),,,
304,見譜 (1),舞古譜 (2),道成業譜 (1),絃只拍子譜 (1),楽篳篥仮名譜 (1),,,
305,増譜 (1),家刀譜 (2),声光詞譜 (1),以来新作譜 (1),俗神楽歌舞譜 (1),,,
306,白譜 (1),今釜譜 (2),蓮院宮譜 (1),月琴弾法譜 (1),陵王荒序笙譜 (1),,,
307,乱譜 (1),禰宜譜 (2),田流笛譜 (1),伽陀附物譜 (1),王荒序鳳笙譜 (1),,,
308,部譜 (1),箏案譜 (2),書作文譜 (1),百曲篳篥譜 (1),王荒序舞秘譜 (1),,,
309,響譜 (1),舞箏譜 (2),秋列国譜 (1),伊達家略譜 (1),趣経々頭私譜 (1),,,
310,讃譜 (1),詠墨譜 (2),門跡之譜 (1),甲斐少将譜 (1),理趣経中曲譜 (1),,,
311,息譜 (1),曲按譜 (2),曲尽鞠譜 (1),島県草木譜 (1),琉球三絃楽譜 (1),,,
312,綿譜 (1),古硯譜 (2),戸外戚譜 (1),藍水人薓譜 (1),笛大曲仮名譜 (1),,,
313,旧譜 (1),妓名譜 (2),並朗詠譜 (1),人芸林名譜 (1),竜笛中小曲譜 (1),,,
314,前譜 (1),大錢譜 (2),楽曲笛譜 (1),弥三家刀譜 (1),破新羅陵王譜 (1),,,
315,道譜 (1),閣曲譜 (2),伝書並譜 (1),茶家年暦譜 (1),梁塵并糸竹譜 (1),,,
316,戒譜 (1),尋聲譜 (2),斎自叙譜 (1),神官禰宜譜 (1),祭舞人輪作譜 (1),,,
317,清譜 (1),鼓笛譜 (2),史小説譜 (1),神宮禰宜譜 (1),御作古言調譜 (1),,,
318,登譜 (1),軍鼓譜 (2),坡画竹譜 (1),鑓起源略譜 (1),講並郢曲墨譜 (1),,,
319,繡譜 (1),喜神譜 (2),忠能略譜 (1),峨撫箏雅譜 (1),淡御両国御譜 (1),,,
320,灸譜 (1),畧方譜 (2),陽殿竹譜 (1),阿弥家刀譜 (1),江中将殿藩譜 (1),,,
321,持譜 (1),盟筭譜 (2),歌肩鼓譜 (1),居家中興譜 (1),大草流庖丁譜 (1),,,
322,自譜 (1),詩箋譜 (2),当世碁譜 (1),坪流善御譜 (1),瞎驢山住持譜 (1),,,
323,井譜 (1),類別譜 (2),雲雷秘譜 (1),鬼彌太建譜 (1),細川忠興公譜 (1),,,
324,考譜 (1),達氏譜 (2),人洞門譜 (1),香山草木譜 (1),家龍笛要録譜 (1),,,
325,傳譜 (1),柳營譜 (2),古今田譜 (1),栗仮名案譜 (1),天王腕磨名譜 (1),,,
326,誦譜 (1),琶略譜 (2),黙斎方譜 (1),唐詩盆山譜 (1),市川佰莚之譜 (1),,,
327,及譜 (1),藏筆譜 (2),暦指掌譜 (1),神楽歌秘譜 (1),笛附物仮名譜 (1),,,
328,信譜 (1),儀歌譜 (2),泉啄木譜 (1),秘伝島津譜 (1),笛序遠曲秘譜 (1),,,
329,聚譜 (1),踊歌譜 (2),筆琵琶譜 (1),茂公三徳譜 (1),光大師略傳譜 (1),,,
330,永譜 (1),寫本譜 (2),正続書譜 (1),白檍原龍譜 (1),細草談林歴譜 (1),,,
331,聖譜 (1),五派譜 (2),調子秘譜 (1),得度者略譜 (1),峨二尊院略譜 (1),,,
332,当譜 (1),節切譜 (2),端堂硯譜 (1),楽名調楽譜 (1),田歴代法号譜 (1),,,
333,市譜 (1),管之譜 (2),琶説秘譜 (1),還城楽舞譜 (1),金剛界念誦譜 (1),,,
334,幹譜 (1),陵王譜 (2),下秘説譜 (1),中古今之譜 (1),峯寺検校略譜 (1),,,
335,祇譜 (1),麗笛譜 (2),海波舞譜 (1),文筌古文譜 (1),主伝法得略譜 (1),,,
336,付譜 (1),笙之譜 (2),和琴古譜 (1),地哥妓名譜 (1),黄不動印信譜 (1),,,
337,役譜 (1),明私譜 (2),秦箏古譜 (1),解字篆韻譜 (1),肥陽丗家畧譜 (1),,,
338,壺譜 (1),陀仮譜 (2),和舞歌譜 (1),流烽火全譜 (1),楽歌声腔調譜 (1),,,
339,命譜 (1),地神譜 (2),宗明楽譜 (1),五知斎琴譜 (1),應世編年略譜 (1),,,
340,尚譜 (1),人名譜 (2),子仮名譜 (1),時本軼落譜 (1),天真流貝之譜 (1),,,
341,寺譜 (1),撃物譜 (2),曲十首譜 (1),曲明清樂譜 (1),謙信流太鼓譜 (1),,,
342,羽譜 (1),房方譜 (2),王楽破譜 (1),樂曲牌雅譜 (1),詩林姓名略譜 (1),,,
343,地譜 (1),国旗譜 (2),十天楽譜 (1),榮慶社曲譜 (1),真宗学統略譜 (1),,,
344,孝譜 (1),舞楽譜 (2),尊席田譜 (1),北詞廣正譜 (1),御家中新古譜 (1),,,
345,衆譜 (1),小曲譜 (2),王荒序譜 (1),書唱片曲譜 (1),戸諸士古新譜 (1),,,
346,段譜 (1),朝箏譜 (2),篥伝授譜 (1),太和正音譜 (1),来御徒目付譜 (1),,,
347,精譜 (1),枝伝譜 (2),御秘蔵譜 (1),名伶化裝譜 (1),西漢外戚略譜 (1),,,
348,并譜 (1),竜音譜 (2),楽琵琶譜 (1),怡志樓曲譜 (1),西山流伝法譜 (1),,,
349,重譜 (1),紫巖譜 (2),歌楽維譜 (1),主旋律樂譜 (1),西大将軍宮譜 (1),,,
350,練譜 (1),言調譜 (2),秋楽箏譜 (1),堂先生琴譜 (1),成仏義得略譜 (1),,,
351,荻譜 (1),棋新譜 (2),還城楽譜 (1),斎四君子譜 (1),暗射図指南譜 (1),,,
352,普譜 (1),逓代譜 (2),将律音譜 (1),仙臺黄門譜 (1),方誌釈迦氏譜 (1),,,
353,双譜 (1),藩瀚譜 (2),帝私案譜 (1),並公族略譜 (1),福寺普明院譜 (1),,,
