Rank,Bi-gram,Bi-Count,Tri-gram,Tri-Count,Tetra-gram,Tetra-Count,Penta-gram,Penta-Count
97,楽歌,21,燈世譜,11,百菊譜2,7,調子曲仮名,6
98,秘曲,21,よしこ,11,菊譜2巻,7,子曲仮名譜,6
99,笛仮,21,しこの,11,五知齋琴,7,纐纈紺屋譜,6
100,世左,21,曲秘譜,11,知齋琴譜,7,浪華〓芳譜,6
101,左近,21,諸菜譜,11,齋琴譜8,7,／撫箏雅譜,6
102,近太,21,新撰楽,11,琴譜8卷,7,甲陽軍鑑合,5
103,夫正,21,治要2,11,神器譜5,7,陽軍鑑合戦,5
104,御譜,20,要20,11,器譜5卷,7,軍鑑合戦之,5
105,百菊,20,20巻,11,甲陽軍鑑,7,鑑合戦之巻,5
106,譜代,20,正本1,11,譜不分卷,7,潤州曹氏重,5
107,5卷,20,迦譜要,10,梅枝伝譜,7,州曹氏重修,5
108,譜嫁,20,団乱旋,10,太平記忠,7,曹氏重修宗,5
109,嫁入,20,説文解,10,平記忠臣,7,氏重修宗譜,5
110,入雛,20,文解字,10,記忠臣講,7,重修宗譜2,5
111,鎌倉,20,忠臣蔵,10,忠臣講釈,7,修宗譜2卷,5
112,平記,20,正燈世,10,本朝廿四,7,和歌師資相,5
113,笛要,20,津絵ぶ,10,朝廿四孝,7,源平布引滝,5
114,録譜,20,絵ぶし,10,どいつ集,7,日本振袖始,5
115,子譜,20,善御譜,10,盤渉調曲,7,島武勇問答,5
116,越調,20,合香万,10,渉調曲譜,7,箱根霊験躄,5
117,百番,20,香万秋,10,楽仮名譜,7,根霊験躄仇,5
118,1卷,19,秘曲譜,10,藩譜採要,7,霊験躄仇討,5
119,曽我,19,拍子譜,10,催馬楽略,7,一谷嫩軍記,5
120,皇帝,19,高麗楽,10,馬楽略譜,7,絵本太功記,5
121,書譜,19,笛之譜,10,大日本撰,6,和田合戦女,5
122,道行,19,箏曲大,10,日本撰釋,6,田合戦女舞,5
123,浄瑠,19,曲大意,10,本撰釋迦,6,合戦女舞鶴,5
124,瑠璃,19,観世流,10,撰釋迦譜,6,譜／壱越調,5
125,声明,19,工尺譜,10,種茶譜略,6,菊譜百詠図,5
126,音譜,19,北詞広,10,史譜7巻,6,採桑老舞譜,5
127,ほか,19,詞広正,10,平陽汪氏,6,大坪本流善,5
128,せい,19,広正譜,10,陽汪氏九,6,坪本流善御,5
129,〔謡,19,正譜巻,10,汪氏九十,6,本流善御譜,5
