Rank,Bi-gram,Bi-Count,Tri-gram,Tri-Count,Tetra-gram,Tetra-Count,Penta-gram,Penta-Count
152,嬬箏,20,善御譜,11,江増写真,8,天瓢斎書画,6
153,伝実,20,曲秘譜,11,増写真譜,8,瓢斎書画落,6
154,観世,20,諸菜譜,11,声曲類纂,7,斎書画落款,6
155,百番,20,清書画,11,梅山種茶,7,六調子曲仮,6
156,帝王,19,書画落,11,山種茶譜,7,調子曲仮名,6
157,王譜,19,画落款,11,韻勝園梅,7,子曲仮名譜,6
158,織田,19,草木譜,11,勝園梅譜,7,大坂新町遊,6
159,信長,19,催馬樂,11,桂園橘譜,7,坂新町遊女,6
160,木譜,19,［森寺,11,蘇合香一,7,新町遊女名,6
161,皇帝,19,温故］,11,合香一具,7,町遊女名譜,6
162,暗射,19,故］森,11,破陣楽団,7,纐纈紺屋譜,6
163,江戸,19,］森寺,11,陣楽団乱,7,／撫箏雅譜,6
164,道行,19,森寺藩,11,楽団乱旋,7,催馬樂譜入,6
165,声明,19,寺藩臣,11,譜代家督,7,馬樂譜入文,6
166,款譜,19,藩臣譜,11,代家督留,7,'二簧?琴,6
167,せい,19,臣譜系,11,五知齋琴,7,二簧?琴工,6
168,〔謡,19,大意抄,11,知齋琴譜,7,簧?琴工尺,6
169,田信,18,実録1,11,齋琴譜8,7,?琴工尺譜,6
170,茶譜,18,譜'',11,琴譜8卷,7,北平牋譜',6
171,紙譜,18,釋迦譜,10,神器譜5,7,''北平牋,6
172,1卷,18,印籠譜,10,器譜5卷,7,北平牋譜1,6
173,譜別,18,団乱旋,10,米庵蔵筆,7,平牋譜1;,6
174,南譜,18,無間鐘,10,庵蔵筆譜,7,牋譜1;2,6
175,漢研,18,梅枝伝,10,本朝廿四,7,譜1;2;,6
176,書譜,18,枝伝譜,10,朝廿四孝,7,1;2;3,6
177,平記,18,手本忠,10,仮名手本,7,;2;3;,6
178,太夫,18,菅原伝,10,本忠臣蔵,7,2;3;4,6
179,心中,18,原伝授,10,横笛譜裏,7,;3;4;,6
180,浄瑠,18,伝授手,10,笛譜裏書,7,3;4;5,6
181,瑠璃,18,授手習,10,どいつ集,7,;4;5;,6
182,けい,18,手習鑑,10,新撰楽譜,7,4;5;6,6
183,よし,18,梅園墨,10,李院扇譜,7,;5;6',6
184,琴曲,18,象棋譜,10,盤渉調曲,7,樹譜別録3,5
185,救荒,18,合香万,10,渉調曲譜,7,譜別録3巻,5
186,龍笛,18,香万秋,10,楽仮名譜,7,歌師資相伝,5
187,世流,18,秘曲譜,10,藩譜採要,7,源平布引滝,5
188,流謡,18,新撰楽,10,箏曲新譜,7,日本振袖始,5
189,曽我,18,要略譜,10,催馬楽略,7,島武勇問答,5
190,譜3,17,拍子譜,10,馬楽略譜,7,一谷嫩軍記,5
191,草木,17,高麗楽,10,工譜略/,7,絵本太功記,5
192,玉堂,17,譜略国,10,譜略/さ,7,和田合戦女,5
193,都金,17,略国朝,10,略/さん,7,田合戦女舞,5
194,粟嶋,17,観世流,10,/さんこ,7,合戦女舞鶴,5
195,節正,17,北詞広,10,さんこう,7,譜／壱越調,5
196,和歌,17,詞広正,10,んこうふ,7,相承血脈譜,5
197,新譜,17,広正譜,10,こうふり,7,遊女名譜つ,5
198,大全,17,正譜巻,10,うふりゃ,7,女名譜つま,5
199,本朝,17,曲類纂,9,ふりゃく,7,採桑老舞譜,5
200,軍記,17,写真譜,9,西皮工尺,7,大坪本流善,5
