Rank,Last2 (1字+譜),Last3 (2字+譜),Last4 (3字+譜),Last5 (4字+譜),Last6 (5字+譜),Last7 (6字+譜),Last8 (7字+譜),Last9 (8字+譜)
29,新譜 (14),笛之譜 (9),南山小譜 (5),高麗仮名譜 (3),鳥破只拍子譜 (2),金原御狩太鼓譜 (2),道朝臣自筆琵琶譜 (1),刊正文対音捷要琴譜 (1)
30,按譜 (14),神器譜 (8),高麗曲譜 (5),楽肩鼓之譜 (3),譜及催馬楽譜 (2),バイリオン楽譜 (1),浄名院琵琶説秘譜 (1),遊神樂催馬楽風俗譜 (1)
31,香譜 (13),秋楽譜 (8),琴曲指譜 (5),残楽助音譜 (3),越調平調曲譜 (2),秋楽口伝仮名譜 (1),百拍子以下秘説譜 (1),蘇合香萬秋楽假名譜 (1)
32,史譜 (12),拍子譜 (8),仮名案譜 (5),三帖破急譜 (3),調盤渉調曲譜 (2),鶯囀万秋楽本譜 (1),楽催馬楽和琴古譜 (1),千石被仰蒙御残御譜 (1)
33,小譜 (12),馬樂譜 (8),篥仮名譜 (5),延只拍子譜 (3),調子品橃合譜 (2),楽団乱旋復訳譜 (1),香万秋楽宗明楽譜 (1),楽祝詞之次第笛之譜 (1)
34,皷譜 (11),齋琴譜 (7),神楽歌譜 (4),及催馬楽譜 (3),麗竜外五曲譜 (2),乱旋校合竜笛譜 (1),鳥破只拍子仮名譜 (1),和歌師資相伝血脉譜 (1)
35,詞譜 (11),附物譜 (7),楽附物譜 (4),壱越調曲譜 (3),人長舞曲秘譜 (2),楽団乱旋竜笛譜 (1),和楽打球楽仮名譜 (1),老舞譜並小調子密譜 (1)
36,音譜 (11),声明譜 (7),宗要略譜 (4),鶯囀皇麞譜 (3),曲及延喜楽譜 (2),楽団乱旋篳篥譜 (1),及催馬楽高麗楽譜 (1),刻古今玄機消長八譜 (1)
37,正譜 (11),撰楽譜 (7),管絃按譜 (4),笛仮名案譜 (3),鐘調盤渉調譜 (2),亀年中公武略譜 (1),三台破西王楽破譜 (1),兪粟廬自書唱片曲譜 (1)
38,調譜 (10),曲新譜 (7),陵王舞譜 (4),秦箏要録譜 (3),捷要真伝琴譜 (2),東照大権現御譜 (1),塩承和楽十天楽譜 (1),守綱村家中騷動之譜 (1)
39,介譜 (9),神楽譜 (7),桑老舞譜 (4),大成真写譜 (2),笛高麗秘曲譜 (2),催馬楽並朗詠譜 (1),調平調盤渉調曲譜 (1),無僧縁起并三虚靈譜 (1)
40,管譜 (9),楽略譜 (7),月琴詞譜 (4),帝破陣楽譜 (2),五十五曲之譜 (2),歌曲相伝書並譜 (1),壱越調盤渉調曲譜 (1),家雅楽伝授書並楽譜 (1)
41,ノ譜 (9),右舞譜 (7),魏氏樂譜 (4),合香竜笛譜 (2),五名万秋楽譜 (2),石上流泉啄木譜 (1),麗曲並六調子曲譜 (1),会法則博士習所仮譜 (1)
42,脈譜 (9),鳳管譜 (6),聲光詞譜 (4),融斎翎毛譜 (2),弾法口伝秘譜 (2),朝臣自筆琵琶譜 (1),陣楽春鶯囀皇麞譜 (1),調盤渉調撥合調子譜 (1)
43,氏譜 (8),氏支譜 (6),明清樂譜 (4),文庫之秘譜 (2),鳳簫調子安譜 (2),名院琵琶説秘譜 (1),団乱旋陵王荒序譜 (1),蘇合香一具笛撃物譜 (1)
44,器譜 (8),鳳鳴譜 (6),頓戒脈譜 (4),神人眼睫譜 (2),生居月琴詞譜 (2),拍子以下秘説譜 (1),太食調及催馬楽譜 (1),品及蘓香合万秋楽譜 (1)
45,国譜 (8),妻箏譜 (6),秋鳳笙譜 (4),外能楽笛譜 (2),之次第笛之譜 (2),輪台青海波舞譜 (1),盤渉調大食調曲譜 (1),小田氏譜付笠間氏譜 (1)
46,墨譜 (8),曲笛譜 (6),一具訳譜 (3),見宮琵琶譜 (2),琴学心声諧譜 (2),催馬楽和琴古譜 (1),催馬楽及将律音譜 (1),原胖秋鳳笙只拍子譜 (1)
47,仮譜 (8),詠案譜 (6),考鳳笙譜 (3),朗詠伝授譜 (2),説文觧字韻譜 (2),万秋楽宗明楽譜 (1),内宮内正祝権祝譜 (1),良辨闍梨書伽陀仮譜 (1)
48,合譜 (7),舞歌譜 (6),園泉貨譜 (3),和歌披講譜 (2),高麗楽仮名譜 (2),破只拍子仮名譜 (1),五十三楽糸竹合譜 (1),還城楽芝家伝来舞譜 (1)
49,明譜 (7),合香譜 (6),睦氏支譜 (3),三極秘曲譜 (2),馬楽附物案譜 (2),楽打球楽仮名譜 (1),正文対音捷要琴譜 (1),平調黄鐘調太食調譜 (1)
50,方譜 (7),麗楽譜 (6),汪氏支譜 (3),琶懐中秘譜 (2),神伝八雲琴譜 (2),雙調大食調曲譜 (1),神樂催馬楽風俗譜 (1),万秋楽蘇合香大曲譜 (1)
51,要譜 (7),郢曲譜 (6),渡更紗譜 (3),竜笛枢要譜 (2),左方舞曲按譜 (2),催馬楽高麗楽譜 (1),合香萬秋楽假名譜 (1),楽秘譜并採桑老舞譜 (1)
52,韻譜 (7),名案譜 (6),馬楽箏譜 (3),催馬楽秘譜 (2),西洋行軍鼓譜 (2),壱越調曲仮名譜 (1),石被仰蒙御残御譜 (1),秋楽鳳笙琵琶対照譜 (1)
53,金譜 (7),風雅譜 (6),披講之譜 (3),名子舞歌譜 (2),土真宗五派譜 (2),台破西王楽破譜 (1),一絃琴四季今様譜 (1),景晴唐楽篳篥仮名譜 (1)
54,木譜 (6),龍笛譜 (6),算法盟譜 (3),凰管要略譜 (2),龍笛仮名案譜 (2),承和楽十天楽譜 (1),釈尊応世編年略譜 (1),主基風俗神楽歌舞譜 (1)
55,本譜 (6),袖珎譜 (6),代講頌譜 (3),会田舞歌譜 (2),原御狩太鼓譜 (2),平調盤渉調曲譜 (1),古今刀劔録海棠譜 (1),輪流神道灌頂附楽譜 (1)
56,支譜 (6),四生譜 (5),風閣琴譜 (3),一具仮名譜 (2),印可秘曲之譜 (2),越調盤渉調曲譜 (1),幼稚園保育唱歌譜 (1),和歌披講並郢曲墨譜 (1)
57,鳴譜 (6),山小譜 (5),調子品譜 (3),大食調曲譜 (2),琵琶調子並譜 (2),曲並六調子曲譜 (1),歌師資相伝血脉譜 (1),十五年以来灌頂脈譜 (1)
58,碁譜 (6),楽箏譜 (5),合調子譜 (3),譜并三皷譜 (2),神樂催馬樂譜 (2),乱旋陵王荒序譜 (1),竹本豊竹浄瑠璃譜 (1),催馬楽笛附物仮名譜 (1)
59,俗譜 (6),光詞譜 (5),麗仮名譜 (3),破只拍子譜 (2),イリオン楽譜 (1),食調及催馬楽譜 (1),支那歴代皇后略譜 (1),家相承経旨深義脈譜 (1)
60,畧譜 (6),朗詠譜 (5),管要略譜 (3),調平調曲譜 (2),楽口伝仮名譜 (1),渉調大食調曲譜 (1),舞譜並小調子密譜 (1),三身座主伝法得略譜 (1)
61,私譜 (6),善御譜 (5),肩鼓之譜 (3),子品橃合譜 (2),囀万秋楽本譜 (1),馬楽及将律音譜 (1),琴曲洋峨撫箏雅譜 (1),院大師黄不動印信譜 (1)
62,珎譜 (6),笛秘譜 (5),楽助音譜 (3),竜外五曲譜 (2),団乱旋復訳譜 (1),鳳笙譜胡絃略譜 (1),古今玄機消長八譜 (1),楞厳経方誌釈迦氏譜 (1)
63,源譜 (5),伝授譜 (5),食調曲譜 (3),横笛中曲譜 (2),旋校合竜笛譜 (1),宮内正祝権祝譜 (1),祇園新地哥妓名譜 (1),中院流附法諸祖伝譜 (1)
64,椿譜 (5),麗曲譜 (5),帖破急譜 (3),長舞曲秘譜 (2),団乱旋竜笛譜 (1),元明清名公欸譜 (1),一笠菴北詞廣正譜 (1),席田春庭楽回抔楽譜 (1)
65,州譜 (5),楽秘譜 (5),平調曲譜 (3),求古館方譜 (2),団乱旋篳篥譜 (1),高麗壱越調曲譜 (1),粟廬自書唱片曲譜 (1),綾小路俊賀今様墨譜 (1)
66,蕈譜 (5),鼓之譜 (5),越調曲譜 (3),及延喜楽譜 (2),年中公武略譜 (1),十三楽糸竹合譜 (1),綱村家中騷動之譜 (1),清田太神宮神楽歌譜 (1)
67,生譜 (5),曲指譜 (5),囀皇麞譜 (3),調盤渉調譜 (2),照大権現御譜 (1),文対音捷要琴譜 (1),僧縁起并三虚靈譜 (1),守綱村家中騒動之譜 (1)
68,詠譜 (5),風俗譜 (5),外五曲譜 (3),要真伝琴譜 (2),於歌道成業譜 (1),樂催馬楽風俗譜 (1),雅楽伝授書並楽譜 (1),急早八拍子拍子八譜 (1)
69,授譜 (5),舞曲譜 (5),浄瑠璃譜 (3),高麗秘曲譜 (2),馬楽並朗詠譜 (1),催馬樂朗詠歌譜 (1),高麗笛秘曲仮名譜 (1),
70,指譜 (5),笙ノ譜 (5),琵琶按譜 (3),十五曲之譜 (2),催馬楽曲笛譜 (1),笙回向付物ノ譜 (1),長崎奉行歴代名譜 (1),
71,雑譜 (5),月琴譜 (5),波臣小譜 (3),名万秋楽譜 (2),曲相伝書並譜 (1),香萬秋楽假名譜 (1),法則博士習所仮譜 (1),
72,唄譜 (5),樂歌譜 (5),金函名譜 (3),高麗篳篥譜 (2),中山忠能略譜 (1),仕着摸様振袖譜 (1),盤渉調撥合調子譜 (1),
73,僧譜 (5),雪女譜 (4),三鼓略譜 (3),蘇合香笙譜 (2),上流泉啄木譜 (1),被仰蒙御残御譜 (1),蘇合一具笙箏両譜 (1),
74,銘譜 (4),之秘譜 (4),竜笛秘譜 (3),位階沿革譜 (2),臣自筆琵琶譜 (1),春鶯囀琵琶古譜 (1),合香一具笛撃物譜 (1),
75,訳譜 (4),楽歌譜 (4),花月琴譜 (3),芳烈公略譜 (2),定本正続書譜 (1),大神景光自筆譜 (1),蘇合香一具鳳笙譜 (1),
76,櫻譜 (4),笛略譜 (4),吾嬬筝譜 (3),漢音梵唄譜 (2),和琴調子秘譜 (1),絃琴四季今様譜 (1),及蘓香合万秋楽譜 (1),
77,女譜 (4),続書譜 (4),撫筝雅譜 (3),法口伝秘譜 (2),院琵琶説秘譜 (1),尊応世編年略譜 (1),田氏譜付笠間氏譜 (1),
