Rank,Keyword,Count
97,https://jpsearch.go.jp/term/keyword/漢詩文,5
98,https://jpsearch.go.jp/term/keyword/地誌,5
99,https://jpsearch.go.jp/term/keyword/技芸--謡曲・音楽,5
100,https://jpsearch.go.jp/term/keyword/箏曲,5
101,https://jpsearch.go.jp/term/keyword/戦記,5
102,https://jpsearch.go.jp/term/keyword/囲碁,5
103,https://jpsearch.go.jp/term/keyword/文房具,5
104,https://jpsearch.go.jp/term/keyword/芸術--音楽--演劇・舞踏,5
105,https://jpsearch.go.jp/term/keyword/音楽・演劇--演劇--能楽--総記,5
106,https://jpsearch.go.jp/term/keyword/音楽・演劇--演劇--能楽--狂言,5
107,https://jpsearch.go.jp/term/keyword/音楽・演劇--演劇--能楽--謡本附小謡,5
108,https://jpsearch.go.jp/term/keyword/芸術・美術--音楽--邦楽,5
109,https://jpsearch.go.jp/term/keyword/絵本,4
110,https://jpsearch.go.jp/term/keyword/滑稽本,4
111,https://jpsearch.go.jp/term/keyword/雑記,4
112,https://jpsearch.go.jp/term/keyword/芸術--音楽・舞踊,4
113,https://jpsearch.go.jp/term/keyword/総記--叢書・全集,4
114,https://jpsearch.go.jp/term/keyword/俳諧,4
115,https://jpsearch.go.jp/term/keyword/法制,4
116,https://jpsearch.go.jp/term/keyword/将棋,4
117,https://jpsearch.go.jp/term/keyword/園芸,4
118,https://jpsearch.go.jp/term/keyword/臨済,4
119,https://jpsearch.go.jp/term/keyword/印章,4
120,https://jpsearch.go.jp/term/keyword/歴史--系譜,4
121,https://jpsearch.go.jp/term/keyword/芸術--音楽・演劇--能の本,4
122,https://jpsearch.go.jp/term/keyword/武学・武術--武具--刀剣,4
123,https://jpsearch.go.jp/term/keyword/音楽・演劇--演劇--古代劇--伎楽・雅楽,4
124,https://jpsearch.go.jp/term/keyword/音楽・演劇--演劇--能楽--謡本附小謡--能の本,4
125,https://jpsearch.go.jp/term/keyword/放鷹,4
126,https://jpsearch.go.jp/term/keyword/国書--音楽・演劇--淨瑠璃_附_人形劇--義太夫節,4
127,https://jpsearch.go.jp/term/keyword/子部藝術類,4
128,https://jpsearch.go.jp/term/keyword/工芸,3
129,https://jpsearch.go.jp/term/keyword/書画,3
130,https://jpsearch.go.jp/term/keyword/写本,3
131,https://jpsearch.go.jp/term/keyword/黄表紙,3
132,https://jpsearch.go.jp/term/keyword/時宗,3
133,https://jpsearch.go.jp/term/keyword/歴史・地理--伝記,3
134,https://jpsearch.go.jp/term/keyword/音韻,3
135,https://jpsearch.go.jp/term/keyword/神道,3
136,https://jpsearch.go.jp/term/keyword/注釈,3
137,https://jpsearch.go.jp/term/keyword/金工,3
138,https://jpsearch.go.jp/term/keyword/政治,3
139,https://jpsearch.go.jp/term/keyword/日記,3
140,https://jpsearch.go.jp/term/keyword/歴史--伝記,3
141,https://jpsearch.go.jp/term/keyword/香道,3
142,https://jpsearch.go.jp/term/keyword/絵本番附,3
143,https://jpsearch.go.jp/term/keyword/国書--芸術--書画・音楽,3
144,https://jpsearch.go.jp/term/keyword/芸術--工芸,3
145,https://jpsearch.go.jp/term/keyword/貨幣,3
146,https://jpsearch.go.jp/term/keyword/総記--叢書,3
147,https://jpsearch.go.jp/term/keyword/諸芸--遊技・遊戯,3
148,https://jpsearch.go.jp/term/keyword/国書--美術・諸芸--楽舞,3
149,https://jpsearch.go.jp/term/keyword/箱入別置本--叢書類,3
150,https://jpsearch.go.jp/term/keyword/総記,3
151,https://jpsearch.go.jp/term/keyword/総記--随叢--雑編音楽・演劇--雑,3
152,https://jpsearch.go.jp/term/keyword/芸術--音楽--総記,3
153,https://jpsearch.go.jp/term/keyword/音楽・演劇--音楽--絃楽,3
154,https://jpsearch.go.jp/term/keyword/音楽・演劇--演劇--浄瑠璃--江戸浄瑠璃--常磐津,3
155,https://jpsearch.go.jp/term/keyword/音楽・演劇--演劇--歌舞伎--総記,3
156,https://jpsearch.go.jp/term/keyword/刀剣,3
157,https://jpsearch.go.jp/term/keyword/浄瑠璃_河東,3
158,https://jpsearch.go.jp/term/keyword/諸芸--茶道,3
159,https://jpsearch.go.jp/term/keyword/遊女絵本,2
160,https://jpsearch.go.jp/term/keyword/風俗絵本,2
161,https://jpsearch.go.jp/term/keyword/花鳥画,2
162,https://jpsearch.go.jp/term/keyword/図案,2
163,https://jpsearch.go.jp/term/keyword/義太夫正本,2
164,https://jpsearch.go.jp/term/keyword/音曲,2
165,https://jpsearch.go.jp/term/keyword/文法,2
166,https://jpsearch.go.jp/term/keyword/芸術・諸技,2
167,https://jpsearch.go.jp/term/keyword/絵画--画譜類,2
168,https://jpsearch.go.jp/term/keyword/雑集,2
169,https://jpsearch.go.jp/term/keyword/雑,2
170,https://jpsearch.go.jp/term/keyword/島原藩,2
171,https://jpsearch.go.jp/term/keyword/伝記--人名録類,2
172,https://jpsearch.go.jp/term/keyword/芸術・美術--花道,2
173,https://jpsearch.go.jp/term/keyword/芸能,2
174,https://jpsearch.go.jp/term/keyword/書目,2
175,https://jpsearch.go.jp/term/keyword/美術,2
176,https://jpsearch.go.jp/term/keyword/文学--歌謡,2
177,https://jpsearch.go.jp/term/keyword/浄瑠璃_半太夫,2
178,https://jpsearch.go.jp/term/keyword/芸術--茶道・香道,2
179,https://jpsearch.go.jp/term/keyword/歌舞伎,2
180,https://jpsearch.go.jp/term/keyword/旧蔵書,2
181,https://jpsearch.go.jp/term/keyword/辞書,2
182,https://jpsearch.go.jp/term/keyword/浄瑠璃_新内,2
183,https://jpsearch.go.jp/term/keyword/音楽_演劇,2
184,https://jpsearch.go.jp/term/keyword/浄瑠璃_富本,2
185,https://jpsearch.go.jp/term/keyword/随筆,2
186,https://jpsearch.go.jp/term/keyword/浄瑠璃_常磐津,2
187,https://jpsearch.go.jp/term/keyword/演劇_絵本,2
188,https://jpsearch.go.jp/term/keyword/宗教--仏教宗派,2
189,https://jpsearch.go.jp/term/keyword/文学・語学--小説・戯曲・戯文,2
190,https://jpsearch.go.jp/term/keyword/自然科学--薬学--本草学,2
191,https://jpsearch.go.jp/term/keyword/産業--花卉園芸,2
192,https://jpsearch.go.jp/term/keyword/近世刊本--芸術--絵画--書道_書画,2
193,https://jpsearch.go.jp/term/keyword/近世刊本--芸術--箏曲,2
194,https://jpsearch.go.jp/term/keyword/有職故実,2
195,https://jpsearch.go.jp/term/keyword/染織,2
196,https://jpsearch.go.jp/term/keyword/補任,2
197,https://jpsearch.go.jp/term/keyword/国書--法制・経済--経済,2
198,https://jpsearch.go.jp/term/keyword/国書--兵事・武技--武器,2
199,https://jpsearch.go.jp/term/keyword/国書--産業・科学--医学,2
200,https://jpsearch.go.jp/term/keyword/狂言,2
201,https://jpsearch.go.jp/term/keyword/一般図書--語学,2
202,https://jpsearch.go.jp/term/keyword/国書--美術・諸芸--花押・印章,2
203,https://jpsearch.go.jp/term/keyword/真宗,2
204,https://jpsearch.go.jp/term/keyword/総記--歴史,2
205,https://jpsearch.go.jp/term/keyword/産業・土木・交通--諸産業,2
206,https://jpsearch.go.jp/term/keyword/和歌,2
207,https://jpsearch.go.jp/term/keyword/音楽・演劇--能楽能の本,2
208,https://jpsearch.go.jp/term/keyword/漢文,2
209,https://jpsearch.go.jp/term/keyword/江戸--音楽・演劇--雅楽,2
210,https://jpsearch.go.jp/term/keyword/花押,2
211,https://jpsearch.go.jp/term/keyword/音楽・演劇--能楽--謡本--能の本,2
212,https://jpsearch.go.jp/term/keyword/典籍--和漢書,2
213,https://jpsearch.go.jp/term/keyword/家譜,2
214,https://jpsearch.go.jp/term/keyword/和算,2
215,https://jpsearch.go.jp/term/keyword/製紙,2
216,https://jpsearch.go.jp/term/keyword/和書の部--音楽・演劇--能楽--能の本,2
217,https://jpsearch.go.jp/term/keyword/蹴鞠,2
218,https://jpsearch.go.jp/term/keyword/一般資料--芸術--碁・将棋,2
219,https://jpsearch.go.jp/term/keyword/音楽・演劇--幸若舞,2
220,https://jpsearch.go.jp/term/keyword/芸術--音楽--管弦,2
221,https://jpsearch.go.jp/term/keyword/浄瑠璃丸本,2
222,https://jpsearch.go.jp/term/keyword/和装本_袋綴線装本_の部--芸術--音楽・舞踊,2
223,https://jpsearch.go.jp/term/keyword/仏書--史伝部二_日本選述普通,2
224,https://jpsearch.go.jp/term/keyword/音楽・演劇--総記,2
225,https://jpsearch.go.jp/term/keyword/歴史--日本史,2
226,https://jpsearch.go.jp/term/keyword/音楽・演劇--演劇--能楽--型付・囃手付,2
227,https://jpsearch.go.jp/term/keyword/音楽・演劇--演劇--浄瑠璃--江戸浄瑠璃--新内,2
228,https://jpsearch.go.jp/term/keyword/音楽・演劇--演劇--歌舞伎--評判記,2
229,https://jpsearch.go.jp/term/keyword/地理--外国地誌--世界誌,2
230,https://jpsearch.go.jp/term/keyword/経済--度量衡・貨幣,2
231,https://jpsearch.go.jp/term/keyword/医学--漢方--本草--薬性附食治,2
232,https://jpsearch.go.jp/term/keyword/黄檗,2
233,https://jpsearch.go.jp/term/keyword/仏教_伝記,2
234,https://jpsearch.go.jp/term/keyword/芸術--書道--文房具,2
235,https://jpsearch.go.jp/term/keyword/浄瑠璃_半太夫・河東,2
236,https://jpsearch.go.jp/term/keyword/治水,2
237,https://jpsearch.go.jp/term/keyword/説経_浄瑠璃,2
238,https://jpsearch.go.jp/term/keyword/国書--音楽・演劇--能楽--謡本_付_久世舞・小謡能の本,2
239,https://jpsearch.go.jp/term/keyword/国書--武学・武術--馬術,2
240,https://jpsearch.go.jp/term/keyword/院本--義太夫節--合作物,2
241,https://jpsearch.go.jp/term/keyword/哲学--仏教--浄土宗,2
242,https://jpsearch.go.jp/term/keyword/漢詩,2
243,https://jpsearch.go.jp/term/keyword/番附,2
244,https://jpsearch.go.jp/term/keyword/芸術・美術--工芸--金工芸・刀剣・甲冑,2
245,https://jpsearch.go.jp/term/keyword/仏教・基督教他--仏教,2
246,https://jpsearch.go.jp/term/keyword/芸術--金石,2
247,https://jpsearch.go.jp/term/keyword/無量寿経教系--宗派,2
248,https://jpsearch.go.jp/term/keyword/社会科学--学習指導_教科課程--教科書,2
249,https://jpsearch.go.jp/term/keyword/芸能・音楽,1
250,https://jpsearch.go.jp/term/keyword/魚介画,1
251,https://jpsearch.go.jp/term/keyword/動物画,1
252,https://jpsearch.go.jp/term/keyword/絵手本_山水,1
253,https://jpsearch.go.jp/term/keyword/複製,1
254,https://jpsearch.go.jp/term/keyword/肉筆画稿帖,1
255,https://jpsearch.go.jp/term/keyword/自筆原稿,1
256,https://jpsearch.go.jp/term/keyword/工芸図鑑,1
257,https://jpsearch.go.jp/term/keyword/系図,1
258,https://jpsearch.go.jp/term/keyword/浄瑠璃・義太夫,1
259,https://jpsearch.go.jp/term/keyword/義太夫丸本,1
260,https://jpsearch.go.jp/term/keyword/外国風俗,1
261,http://id.ndl.go.jp/class/ndc9/384.9,1
262,http://id.ndl.go.jp/class/ndc9/791,1
263,http://id.ndl.go.jp/class/ndc9/188.72,1
264,http://id.ndl.go.jp/class/ndc9/768.6,1
265,http://id.ndl.go.jp/class/ndc9/821.2,1
266,http://id.ndl.go.jp/class/ndc9/756.21,1
267,http://id.ndl.go.jp/class/ndc9/575.98,1
268,http://id.ndl.go.jp/class/ndc9/768.12,1
269,https://jpsearch.go.jp/term/keyword/歴史物語,1
270,https://jpsearch.go.jp/term/keyword/理学・工学・農学,1
271,https://jpsearch.go.jp/term/keyword/歴史・地理,1
272,https://jpsearch.go.jp/term/keyword/掛軸,1
273,https://jpsearch.go.jp/term/keyword/随筆--片仮名物,1
274,https://jpsearch.go.jp/term/keyword/神仏--仏教,1
275,https://jpsearch.go.jp/term/keyword/技芸,1
276,https://jpsearch.go.jp/term/keyword/新学--民俗,1
277,https://jpsearch.go.jp/term/keyword/新学--演劇,1
278,https://jpsearch.go.jp/term/keyword/新学--語学,1
279,https://jpsearch.go.jp/term/keyword/経済・社会,1
280,https://jpsearch.go.jp/term/keyword/日本文学,1
281,https://jpsearch.go.jp/term/keyword/詩歌,1
282,https://jpsearch.go.jp/term/keyword/文学,1
283,https://jpsearch.go.jp/term/keyword/漢学--洋学・本草,1
284,https://jpsearch.go.jp/term/keyword/諸芸,1
285,https://jpsearch.go.jp/term/keyword/歌謡_心学,1
286,https://jpsearch.go.jp/term/keyword/歴史--伝記--系譜・紋章・皇室,1
287,https://jpsearch.go.jp/term/keyword/社会科学--経済--貨幣・通貨・為替,1
288,https://jpsearch.go.jp/term/keyword/芸術・美術--邦楽,1
289,https://jpsearch.go.jp/term/keyword/芸術・美術--武道,1
290,https://jpsearch.go.jp/term/keyword/庶民教育,1
291,https://jpsearch.go.jp/term/keyword/自然科学--薬学・本草学,1
292,https://jpsearch.go.jp/term/keyword/芸術--書道,1
293,https://jpsearch.go.jp/term/keyword/馬具,1
294,https://jpsearch.go.jp/term/keyword/総記--手記・備忘,1
295,https://jpsearch.go.jp/term/keyword/三味線,1
296,https://jpsearch.go.jp/term/keyword/歴史--日本史--雑史--日本史一般,1
297,https://jpsearch.go.jp/term/keyword/謡曲_能の本,1
298,https://jpsearch.go.jp/term/keyword/芸術--文具,1
299,https://jpsearch.go.jp/term/keyword/芸術--金工芸・武具,1
