id,title,matched_ng,reason
https://jpsearch.go.jp/data/arc_ban-C_2_012,妹背鹿笛 鞍馬山 桜鍔恨鮫鞘 比翼塚 其小唄夢廓 奴道成寺,歌舞伎,Aboutルール除外: 歌舞伎
https://jpsearch.go.jp/data/arc_ban-arcBK02_0078_087,花舞台咲分源氏 琵琶名所月景清 仇名草由縁八房 恩愛☆関守 糸調合笛音,event-1889東京-f138e9e50625b93b,Aboutルール除外: event-1889東京-f138e9e50625b93b
https://jpsearch.go.jp/data/arc_ban-arcBK02_0358_15_01,木間星箱根鹿笛 芳流閣雲間稲妻,歌舞伎,Aboutルール除外: 歌舞伎
https://jpsearch.go.jp/data/arc_ban-arcBP02_0010_04_12,トスカ 輝虎配膳 魔笛 富士登山 獅子王木遣音頭,event-1913東京-7454248345b0b2fb,Aboutルール除外: event-1913東京-7454248345b0b2fb
https://jpsearch.go.jp/data/arc_ban-arcBP02_0010_04_13,魔笛,764,Aboutルール除外: 764
https://jpsearch.go.jp/data/arc_ban-arcBP02_0010_13_17,アマリラ ショピニアナ コッペリア 六つの花 花の眼覚め 魔笛 秋の木の葉 波蘭土舞踊 メキシコ民踊 眠れる皇女、魔の池,event-1922東京-19202ddd7597ce40,Aboutルール除外: event-1922東京-19202ddd7597ce40
https://jpsearch.go.jp/data/arc_ban-arcSP01_0143_012,花舞台咲分源氏 琵琶名所月景清 仇名草由縁八房 恩愛睛関守 糸調合笛音,琵琶名所月景清,Aboutルール除外: 琵琶名所月景清
https://jpsearch.go.jp/data/arc_ban-arcSP01_0143_068,妹背鹿笛 鞍馬山 桜鍔恨鮫鞘 比翼塚 其小唄夢廓 奴道成寺,event-1915東京-8e385fc061d66699,Aboutルール除外: event-1915東京-8e385fc061d66699
https://jpsearch.go.jp/data/arc_ban-i13_00292_0413,初深雪佐野鉢木 笛澄月白浪 夜講釈勢力譚話,event-1875東京-cf74fbd41a5fe210,Aboutルール除外: event-1875東京-cf74fbd41a5fe210
https://jpsearch.go.jp/data/arc_ban-i13_00297_0010F,初深雪佐野鉢木 夜講釈勢力譚話 笛澄月白浪,歌舞伎,Aboutルール除外: 歌舞伎
https://jpsearch.go.jp/data/arc_ban-i14_00013_0077H,天赦万義経贔負 風流早笛三番叟,event-1781大阪-a4df5415cd2691bf,Aboutルール除外: event-1781大阪-a4df5415cd2691bf
https://jpsearch.go.jp/data/arc_ban-i14_00013_0265,桃山譚 木間星箱根鹿笛,event-1888名古屋-846d7d62ce80477b,Aboutルール除外: event-1888名古屋-846d7d62ce80477b
https://jpsearch.go.jp/data/arc_ban-kunTK57_0008,初深雪佐野鉢木 笛澄月白浪 夜講釈勢力譚話,event-1875東京-67c80b6bc367d090,Aboutルール除外: event-1875東京-67c80b6bc367d090
https://jpsearch.go.jp/data/arc_ban-kunTK61_0018,初深雪佐野鉢木 夜講釈勢力譚話 笛澄月白浪,歌舞伎,Aboutルール除外: 歌舞伎
https://jpsearch.go.jp/data/arc_ban-ro18_00091_0004BR,粟田口霑笛竹 東郷大将,event-1906東京-9f6c54d714eb6f8b,Aboutルール除外: event-1906東京-9f6c54d714eb6f8b
https://jpsearch.go.jp/data/arc_ban-ro18_00091_0024BO,妹背鹿笛 鞍馬山 桜鍔恨鮫鞘 比翼塚 其小唄夢廓 やっこどうじょうじ,歌舞伎,Aboutルール除外: 歌舞伎
https://jpsearch.go.jp/data/arc_ban-ro18_00092_0001BF,花舞台咲分源氏 琵琶名所月景清 仇名草由縁八房 恩愛☆関守 糸調合笛音,仇名草由縁八房,Aboutルール除外: 仇名草由縁八房
https://jpsearch.go.jp/data/arc_ban-ro22_00051_0078,初深雪佐野鉢木 笛澄月白浪 夜講釈勢力譚話,event-1875東京-cf7502d41a5fedf5,Aboutルール除外: event-1875東京-cf7502d41a5fedf5
https://jpsearch.go.jp/data/arc_ban-ro22_00053_0010,花舞台咲分源氏 琵琶名所月景清 仇名草由縁八房 恩愛☆関守 糸調合笛音,仇名草由縁八房,Aboutルール除外: 仇名草由縁八房
https://jpsearch.go.jp/data/arc_ban-ro22_00053_0290,木間星箱根鹿笛 芳流閣雲間稲妻,event-1894東京-28c1e163cf282cb7,Aboutルール除外: event-1894東京-28c1e163cf282cb7
https://jpsearch.go.jp/data/arc_ban-ro22_00053_0291,木間星箱根鹿笛 芳流閣雲間稲妻,歌舞伎,Aboutルール除外: 歌舞伎
https://jpsearch.go.jp/data/arc_ban-ro22_00053_0340,木間星箱根鹿笛 扇的西海硯,event-1895東京-4d3e8ade10963b2b,Aboutルール除外: event-1895東京-4d3e8ade10963b2b
https://jpsearch.go.jp/data/arc_ban-ro22_00054_1205,弓張月源家鏑箭 五十三駅旅日記 比翼紋愛井の字 木間星箱根鹿笛 艶容女舞衣 うばがもち,event-1909東京-17f2ac0496481968,Aboutルール除外: event-1909東京-17f2ac0496481968
https://jpsearch.go.jp/data/arc_ban-ro22_00054_1206,弓張月源家鏑箭 五十三駅旅日記 比翼紋愛井の字 木間星箱根鹿笛 艶容女舞衣 うばがもち,event-1909東京-17f2ac0496481968,Aboutルール除外: event-1909東京-17f2ac0496481968
https://jpsearch.go.jp/data/arc_ban-ro22_00055_0239,トスカ 輝虎配膳 魔笛 富士登山 獅子王木遣音頭,event-1913東京-3807f6530b3e92ab,Aboutルール除外: event-1913東京-3807f6530b3e92ab
https://jpsearch.go.jp/data/arc_ban-ro22_00055_0552,妹背鹿笛 鞍馬山 桜鍔恨鮫鞘 比翼塚 其小唄夢廓 やっこどうじょうじ,歌舞伎,Aboutルール除外: 歌舞伎
https://jpsearch.go.jp/data/arc_ban-ro22_00062_0001_011,妹背鹿笛 鞍馬山 桜鍔恨鮫鞘 比翼塚 其小唄夢廓 やっこどうじょうじ,event-1915東京-a129bcfa47496245,Aboutルール除外: event-1915東京-a129bcfa47496245
https://jpsearch.go.jp/data/arc_ban-ro22_00063_0087,相生源氏末広松 岸姫松轡鑑 木間星箱根鹿笛,歌舞伎,Aboutルール除外: 歌舞伎
https://jpsearch.go.jp/data/arc_ban-ro22_00063_0420,木間星箱根鹿笛 芳流閣雲間稲妻,event-1894東京-28c1e163cf282cb7,Aboutルール除外: event-1894東京-28c1e163cf282cb7
https://jpsearch.go.jp/data/arc_ban-ro22_00064_0037,トスカ 輝虎配膳 魔笛 富士登山 獅子王木遣音頭,event-1913東京-3807f6530b3e92ab,Aboutルール除外: event-1913東京-3807f6530b3e92ab
