id,title,matched_pattern,reason
https://jpsearch.go.jp/data/adeac-R100000094_I000106261_00,黒田家譜 7巻 : 内題「黒田家譜巻之七」、題箋「黒田家譜 七」,黒田,N-Gramルール除外: 「黒田」
https://jpsearch.go.jp/data/adeac-R100000094_I000106262_00,黒田家譜 8巻 : 内題「黒田家譜巻之八」、題箋「黒田家譜 八」,黒田,N-Gramルール除外: 「黒田」
https://jpsearch.go.jp/data/adeac-R100000094_I000106263_00,黒田家譜 9巻 : 内題「黒田家譜巻之九」、題箋「黒田家譜 九」,黒田,N-Gramルール除外: 「黒田」
https://jpsearch.go.jp/data/adeac-R100000094_I000106264_00,黒田家譜 10巻 : 内題「黒田家譜巻之十」、題箋「黒田家譜 十」,黒田,N-Gramルール除外: 「黒田」
https://jpsearch.go.jp/data/adeac-R100000094_I000106265_00,黒田家譜 11巻 : 内題「黒田家譜巻之十一」、題箋「黒田家譜 十一」,黒田,N-Gramルール除外: 「黒田」
https://jpsearch.go.jp/data/adeac-R100000094_I000106266_00,黒田家譜 12巻 : 内題「黒田家譜巻之十二」、題箋「黒田家譜 十二」,黒田,N-Gramルール除外: 「黒田」
https://jpsearch.go.jp/data/adeac-R100000094_I000106267_00,黒田家譜 13巻 : 内題「黒田家譜巻之十三」、題箋「黒田家譜 十三」,黒田,N-Gramルール除外: 「黒田」
https://jpsearch.go.jp/data/adeac-R100000094_I000106268_00,黒田家譜 14巻 : 内題「黒田家譜巻之十四」、題箋「黒田家譜 十四」,黒田,N-Gramルール除外: 「黒田」
https://jpsearch.go.jp/data/adeac-R100000094_I000106269_00,黒田家譜 15巻 : 内題「黒田家譜巻之十五」、題箋「黒田家譜 十五」,黒田,N-Gramルール除外: 「黒田」
https://jpsearch.go.jp/data/adeac-R100000094_I000106270_00,黒田続家譜 1巻 : 内題「黒田續家譜巻之一」、題箋「黒田續家譜 一」,黒田續家譜巻之,N-Gramルール除外: 「黒田續家譜巻之」
https://jpsearch.go.jp/data/adeac-R100000094_I000106271_00,黒田続家譜 2巻 : 内題「黒田續家譜巻之二」、題箋「黒田續家譜 二」,黒田續家譜巻之,N-Gramルール除外: 「黒田續家譜巻之」
https://jpsearch.go.jp/data/adeac-R100000094_I000106272_00,黒田続家譜 3巻 : 内題「黒田續家譜巻之三」、題箋「黒田續家譜 三」,黒田續家譜巻之,N-Gramルール除外: 「黒田續家譜巻之」
https://jpsearch.go.jp/data/adeac-R100000094_I000106273_00,黒田続家譜 4巻 : 内題「黒田續家譜巻之四」、題箋「黒田續家譜 四」,黒田續家譜巻之,N-Gramルール除外: 「黒田續家譜巻之」
https://jpsearch.go.jp/data/adeac-R100000094_I000106274_00,黒田続家譜 5巻 : 内題「黒田續家譜巻之五」、題箋「黒田續家譜 五」,黒田續家譜巻之,N-Gramルール除外: 「黒田續家譜巻之」
https://jpsearch.go.jp/data/adeac-R100000094_I000106275_00,黒田続家譜 6巻 : 内題「黒田續家譜巻之六」、題箋「黒田續家譜 六」,黒田續家譜巻之,N-Gramルール除外: 「黒田續家譜巻之」
https://jpsearch.go.jp/data/adeac-R100000094_I000141389_00,諸士系譜 索引,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141390_00,諸士系譜 巻之1 い之部1,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141391_00,諸士系譜 巻之2 い之部2,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141392_00,諸士系譜 巻之3 い之部3,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141393_00,諸士系譜 巻之4 い之部4,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141394_00,諸士系譜 巻之6 い之部6,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141395_00,諸士系譜 巻之7 い之部7,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141396_00,諸士系譜 巻之8 い之部8,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141397_00,諸士系譜 巻之10 い之部10,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141398_00,諸士系譜 巻之11 い之部11,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141399_00,諸士系譜 巻之12 い之部12,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141400_00,諸士系譜 巻之13 い之部13,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141401_00,諸士系譜 巻之14 い之部14,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141402_00,諸士系譜 巻之15 い之部15,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141403_00,諸士系譜 巻之16 い之部16,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141404_00,諸士系譜 巻之18 い之部18,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141405_00,諸士系譜 巻之19 い之部19,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141406_00,諸士系譜 巻之20 い之部20,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141407_00,諸士系譜 巻之21 い之部21,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141408_00,諸士系譜 巻之22 い之部22,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141409_00,諸士系譜 巻之23 い之部23,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141410_00,諸士系譜 巻之24 い之部24,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141411_00,諸士系譜 巻之25 い之部25,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141412_00,諸士系譜 巻之26 い之部26,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141413_00,諸士系譜 巻之27 い之部27,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141414_00,諸士系譜 巻之28 い之部28,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141415_00,諸士系譜 巻之29 い之部29,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141416_00,諸士系譜 巻之30 い之部30,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141417_00,諸士系譜 巻之31 い之部31,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141418_00,諸士系譜 巻之32 い之部32,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141419_00,諸士系譜 巻之34 は之部2,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141420_00,諸士系譜 巻之35 は之部3,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141421_00,諸士系譜 巻之36 は之部4,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141422_00,諸士系譜 巻之37 は之部5,諸士,N-Gramルール除外: 「諸士」
https://jpsearch.go.jp/data/adeac-R100000094_I000141423_00,諸士系譜 巻之38 は之部6,諸士,N-Gramルール除外: 「諸士」
