Rank,Last2 (例:家譜),Last3 (例:諸家譜),Last4 (例:徳川家譜),Last5
75,巌譜 (11),馬樂譜 (8),仮名案譜 (5),射図指南譜 (3)
76,詞譜 (11),種茶譜 (7),篥仮名譜 (5),烏斯草木譜 (3)
77,方譜 (11),園梅譜 (7),松島勝譜 (5),先島草木譜 (3)
78,臣譜 (11),園橘譜 (7),新刀銘譜 (4),求古館医譜 (3)
79,正譜 (11),朝顔譜 (7),大窪蟲譜 (4),古今紅葉譜 (3)
80,籠譜 (10),齋琴譜 (7),道統之譜 (4),秦箏要録譜 (3)
81,橘譜 (10),附物譜 (7),諸門跡譜 (4),大成真写譜 (2)
82,字譜 (10),声明譜 (7),神楽歌譜 (4),白川侯蓮譜 (2)
83,調譜 (10),撰楽譜 (7),楽附物譜 (4),叢草木葉譜 (2)
84,埜譜 (10),院扇譜 (7),語断続譜 (4),白圃躑躅譜 (2)
85,獣譜 (9),曲新譜 (7),宗要略譜 (4),郎先生介譜 (2)
86,管譜 (9),神楽譜 (7),管絃按譜 (4),島山艸木譜 (2)
87,畧譜 (9),楽略譜 (7),陵王舞譜 (4),西艸木名譜 (2)
88,営譜 (9),右舞譜 (7),桑老舞譜 (4),草木写生譜 (2)
89,苑譜 (9),鳳管譜 (6),管城二譜 (4),本諸州薬譜 (2)
90,勝譜 (9),本介譜 (6),月琴詞譜 (4),穀精草科譜 (2)
91,藩譜 (9),氏支譜 (6),山象棋譜 (4),田公山茶譜 (2)
92,ノ譜 (9),世支譜 (6),刹古瓦譜 (4),帝破陣楽譜 (2)
93,日譜 (8),写本譜 (6),島草木譜 (4),合香竜笛譜 (2)
94,氏譜 (8),音韻譜 (6),古館医譜 (4),融斎翎毛譜 (2)
95,銘譜 (8),釈迦譜 (6),魏氏樂譜 (4),蹟短冊名譜 (2)
96,草譜 (8),鳳鳴譜 (6),聲光詞譜 (4),文庫之秘譜 (2)
97,包譜 (8),芸苑譜 (6),明清樂譜 (4),神人眼睫譜 (2)
98,器譜 (8),妻箏譜 (6),頓戒脈譜 (4),錦絵問屋譜 (2)
99,国譜 (8),曲笛譜 (6),秋鳳笙譜 (4),外能楽笛譜 (2)
100,屋譜 (8),詠案譜 (6),梅園介譜 (3),見宮琵琶譜 (2)
