@id,rdfs:label,schema:name,schema:description,schema:about
https://jpsearch.go.jp/data/adeac-R100000094_I000074388_00,帝王譜畧 坤,"['テイオウ フ リャク', 'Teiou fu ryaku', '帝王譜畧 坤']","['大きさ、容量等: 1冊', '言語（ISO639-2）: jpn', 'カテゴリ名: 古典籍', '資料の分類: 阿波国文庫', 'ID: R100000094_I000074388_00', '写', '資料種別: 和古書', '資料・資料群名: 徳島県立図書館 阿波国文庫', '著者: 伊藤長胤 : イトウチョウイン']",
https://jpsearch.go.jp/data/adeac-R100000094_I000074915_00,詩経古註 四,"['詩経古註 四', 'Shikyou kochuu shi', 'シキョウ コチュウ シ']","['－', '資料の種別: 漢籍', 'ID: R100000094_I000074915_00', '著者別名: Moko Mo Ko Teishi Jo Gen', '言語（ISO639-2）: chi', 'カテゴリ名: 古典籍', '資料種別: 和古書', '大きさ、容量等: 26.5cm、17.5cm', '大きさ、容量等: 58丁', '自治体史掲載: 詩経古註標註（『新編弘前市史』通史編1(古代・中世) 第4章第二節）', '著者: 毛公（毛亨）傳 鄭氏（鄭玄）箋 : モウコウ モウ コウ テイシ ジョウ ゲン', '資料・資料群名: 史資料', '『詩経』は儒教の経典「五経」の一つで、西周から春秋時代の詩305篇を収めた中国最古の詩集。諸国の民謡を集めた「風」（国風）、朝廷音楽の「雅」（小雅・大雅）、宗廟祭祀の雅楽である「頌」（周頌・魯頌・商頌）の三部からなる。前漢の毛亨らの伝えたテキストである詩経『毛詩』（これに付された注を毛伝という）に、後漢の鄭玄が注釈（鄭箋）を付けたものが広く流布した。この毛伝鄭箋は、唐代の孔穎達らの奉勅撰による『五経正義』の一つである『毛詩正義』に敷衍され、詩経の標準的テキストとして定着した。 市史掲載の写真は『詩経古註再校』である。これは毛伝鄭箋の流れをくむ刊本で、江戸中期の儒学者である井上通煕（蘭台、1705～1761）により校刊された5冊本の刊本である。「延享四年(1747)丁卯九月」の刊記をもち、江戸の書肆、浅倉久兵衛・須原茂兵衛・藤木久市・前川六左衛門が名を連ねている。（武井紀子）', '資料の分類: 和装本']",
https://jpsearch.go.jp/data/adeac-R100000094_I583780,蟲譜圖説,"['Chuufu zusetsu', '蟲譜圖説', 'チュウフ ズセツ']","['古今の書籍に著されている虫類の図と説明を採録し編纂したものです。 安政丙辰（3年）3月千草堂の序文があります。著者は飯室庄左衛門ですが、書写した人物および年代は不明です。古今の書籍に著されている虫類の図と説明を採録し編纂したものです。 明治36年4月15日購入 [傷み少]', 'ID: R100000094_I583780', '資料・資料群名: 秋田県立図書館所蔵貴重資料', '資料種別: 和古書', '資料の分類: 秋田県立図書館所蔵貴重資料－和装本', 'カテゴリ名: 古文書', '出版、掲載、放映を希望する場合は要連絡', '言語（ISO639-2）: jpn']",
https://jpsearch.go.jp/data/adeac-R100000094_I583831,宇津保物語 第１巻 俊蔭 上 : 宇津保物語,"['Utsuho monogatari dai １ kan toshikage jou : utsuho monogatari', '宇津保物語 第１巻 俊蔭 上 : 宇津保物語', 'ウツホ モノガタリ ダイ １ カン トシカゲ ジョウ : ウツホ モノガタリ']","['平安時代中期頃（原典は970年ころ）に成立した、日本文学史上で最も古いといわれる長編物語。著者は不明。物語は以下の2編6部構成の順に進行してゆく（前編：第1部「俊蔭」「藤原の君」「忠こそ」、第2部「嵯峨院」「梅の花笠」「吹上（上）」「吹上（下）」「祭の使」「菊の宴」「あて宮」、第3部「初秋」「田鶴の村鳥」。後編：第1部「蔵開（上）」「蔵開（中）」「蔵開（下）」、第2部「国譲（上）」「国譲（中）」「国譲（下）」、第3部「楼の上（上）」「楼の上（下）」）。本来は全20巻で構成されているが、本資料は一部が上中下巻に分割されており全30巻となっている。前編は主人公仲忠を中心にした音楽伝承とあて宮を中心とした求婚物語で、後編は玄太子をめぐって左大臣、右大臣の実権争いを描く政治物語である。', 'ID: R100000094_I583831', 'カテゴリ名: 古文書', '「各巻タイトル」は表紙のタイトルではなく、表紙裏の注記による。', '出版、掲載、放映を希望する場合は要連絡', '資料・資料群名: 秋田県立図書館所蔵貴重資料', '言語（ISO639-2）: jpn', '資料種別: 和古書', '大きさ、容量等: 27.2 × 18.4 cm', 'タイトル注記: 宇津保物語', '資料の分類: 秋田県立図書館所蔵貴重資料－和装本']",
https://jpsearch.go.jp/data/adeac-R100000094_I583832,宇津保物語 第２巻 俊蔭 下 : 宇津保物語,"['宇津保物語 第２巻 俊蔭 下 : 宇津保物語', 'ウツホ モノガタリ ダイ ２ カン トシカゲ ゲ : ウツホ モノガタリ', 'Utsuho monogatari dai ２ kan toshikage ge : utsuho monogatari']","['出版、掲載、放映を希望する場合は要連絡', '資料の分類: 秋田県立図書館所蔵貴重資料－和装本', '資料・資料群名: 秋田県立図書館所蔵貴重資料', 'ID: R100000094_I583832', '言語（ISO639-2）: jpn', '「各巻タイトル」は表紙のタイトルではなく、表紙裏の注記による。', '大きさ、容量等: 27.2 × 18.4 cm', '平安時代中期頃（原典は970年ころ）に成立した、日本文学史上で最も古いといわれる長編物語。著者は不明。物語は以下の2編6部構成の順に進行してゆく（前編：第1部「俊蔭」「藤原の君」「忠こそ」、第2部「嵯峨院」「梅の花笠」「吹上（上）」「吹上（下）」「祭の使」「菊の宴」「あて宮」、第3部「初秋」「田鶴の村鳥」。後編：第1部「蔵開（上）」「蔵開（中）」「蔵開（下）」、第2部「国譲（上）」「国譲（中）」「国譲（下）」、第3部「楼の上（上）」「楼の上（下）」）。本来は全20巻で構成されているが、本資料は一部が上中下巻に分割されており全30巻となっている。前編は主人公仲忠を中心にした音楽伝承とあて宮を中心とした求婚物語で、後編は玄太子をめぐって左大臣、右大臣の実権争いを描く政治物語である。', '資料種別: 和古書', 'カテゴリ名: 古文書', 'タイトル注記: 宇津保物語']",
https://jpsearch.go.jp/data/adeac-R100000094_I583834,宇津保物語 第３巻 藤原の君 : 宇津保物語,"['宇津保物語 第３巻 藤原の君 : 宇津保物語', 'ウツホ モノガタリ ダイ ３ カン フジワラ ノ キミ : ウツホ モノガタリ', 'Utsuho monogatari dai ３ kan fujiwara no kimi : utsuho monogatari']","['出版、掲載、放映を希望する場合は要連絡', 'カテゴリ名: 古文書', '資料・資料群名: 秋田県立図書館所蔵貴重資料', '資料の分類: 秋田県立図書館所蔵貴重資料－和装本', '資料種別: 和古書', '「各巻タイトル」は表紙のタイトルではなく、表紙裏の注記による。', '言語（ISO639-2）: jpn', 'ID: R100000094_I583834', '大きさ、容量等: 27.2 × 18.4 cm', 'タイトル注記: 宇津保物語', '平安時代中期頃（原典は970年ころ）に成立した、日本文学史上で最も古いといわれる長編物語。著者は不明。物語は以下の2編6部構成の順に進行してゆく（前編：第1部「俊蔭」「藤原の君」「忠こそ」、第2部「嵯峨院」「梅の花笠」「吹上（上）」「吹上（下）」「祭の使」「菊の宴」「あて宮」、第3部「初秋」「田鶴の村鳥」。後編：第1部「蔵開（上）」「蔵開（中）」「蔵開（下）」、第2部「国譲（上）」「国譲（中）」「国譲（下）」、第3部「楼の上（上）」「楼の上（下）」）。本来は全20巻で構成されているが、本資料は一部が上中下巻に分割されており全30巻となっている。前編は主人公仲忠を中心にした音楽伝承とあて宮を中心とした求婚物語で、後編は玄太子をめぐって左大臣、右大臣の実権争いを描く政治物語である。']",
https://jpsearch.go.jp/data/adeac-R100000094_I583835,宇津保物語 第４巻 忠こそ : 宇津保物語,"['宇津保物語 第４巻 忠こそ : 宇津保物語', 'Utsuho monogatari dai ４ kan tadakoso : utsuho monogatari', 'ウツホ モノガタリ ダイ ４ カン タダコソ : ウツホ モノガタリ']","['大きさ、容量等: 27.2 × 18.4 cm', '資料の分類: 秋田県立図書館所蔵貴重資料－和装本', 'ID: R100000094_I583835', '「各巻タイトル」は表紙のタイトルではなく、表紙裏の注記による。', '出版、掲載、放映を希望する場合は要連絡', '資料・資料群名: 秋田県立図書館所蔵貴重資料', '資料種別: 和古書', '平安時代中期頃（原典は970年ころ）に成立した、日本文学史上で最も古いといわれる長編物語。著者は不明。物語は以下の2編6部構成の順に進行してゆく（前編：第1部「俊蔭」「藤原の君」「忠こそ」、第2部「嵯峨院」「梅の花笠」「吹上（上）」「吹上（下）」「祭の使」「菊の宴」「あて宮」、第3部「初秋」「田鶴の村鳥」。後編：第1部「蔵開（上）」「蔵開（中）」「蔵開（下）」、第2部「国譲（上）」「国譲（中）」「国譲（下）」、第3部「楼の上（上）」「楼の上（下）」）。本来は全20巻で構成されているが、本資料は一部が上中下巻に分割されており全30巻となっている。前編は主人公仲忠を中心にした音楽伝承とあて宮を中心とした求婚物語で、後編は玄太子をめぐって左大臣、右大臣の実権争いを描く政治物語である。', '言語（ISO639-2）: jpn', 'タイトル注記: 宇津保物語', 'カテゴリ名: 古文書']",
https://jpsearch.go.jp/data/adeac-R100000094_I583836,宇津保物語 第５巻 嵯峨院 : 宇津保物語,"['ウツホ モノガタリ ダイ ５ カン サガノイン : ウツホ モノガタリ', '宇津保物語 第５巻 嵯峨院 : 宇津保物語', 'Utsuho monogatari dai ５ kan saganoin : utsuho monogatari']","['ID: R100000094_I583836', '資料・資料群名: 秋田県立図書館所蔵貴重資料', '平安時代中期頃（原典は970年ころ）に成立した、日本文学史上で最も古いといわれる長編物語。著者は不明。物語は以下の2編6部構成の順に進行してゆく（前編：第1部「俊蔭」「藤原の君」「忠こそ」、第2部「嵯峨院」「梅の花笠」「吹上（上）」「吹上（下）」「祭の使」「菊の宴」「あて宮」、第3部「初秋」「田鶴の村鳥」。後編：第1部「蔵開（上）」「蔵開（中）」「蔵開（下）」、第2部「国譲（上）」「国譲（中）」「国譲（下）」、第3部「楼の上（上）」「楼の上（下）」）。本来は全20巻で構成されているが、本資料は一部が上中下巻に分割されており全30巻となっている。前編は主人公仲忠を中心にした音楽伝承とあて宮を中心とした求婚物語で、後編は玄太子をめぐって左大臣、右大臣の実権争いを描く政治物語である。', '大きさ、容量等: 27.2 × 18.4 cm', '「各巻タイトル」は表紙のタイトルではなく、表紙裏の注記による。', '資料種別: 和古書', 'カテゴリ名: 古文書', '言語（ISO639-2）: jpn', '資料の分類: 秋田県立図書館所蔵貴重資料－和装本', 'タイトル注記: 宇津保物語', '出版、掲載、放映を希望する場合は要連絡']",
https://jpsearch.go.jp/data/adeac-R100000094_I583837,宇津保物語 第６巻 梅の花笠 : 宇津保物語,"['Utsuho monogatari dai ６ kan ume no hanagasa : utsuho monogatari', '宇津保物語 第６巻 梅の花笠 : 宇津保物語', 'ウツホ モノガタリ ダイ ６ カン ウメ ノ ハナガサ : ウツホ モノガタリ']","['出版、掲載、放映を希望する場合は要連絡', '資料・資料群名: 秋田県立図書館所蔵貴重資料', 'カテゴリ名: 古文書', '資料種別: 和古書', '資料の分類: 秋田県立図書館所蔵貴重資料－和装本', '平安時代中期頃（原典は970年ころ）に成立した、日本文学史上で最も古いといわれる長編物語。著者は不明。物語は以下の2編6部構成の順に進行してゆく（前編：第1部「俊蔭」「藤原の君」「忠こそ」、第2部「嵯峨院」「梅の花笠」「吹上（上）」「吹上（下）」「祭の使」「菊の宴」「あて宮」、第3部「初秋」「田鶴の村鳥」。後編：第1部「蔵開（上）」「蔵開（中）」「蔵開（下）」、第2部「国譲（上）」「国譲（中）」「国譲（下）」、第3部「楼の上（上）」「楼の上（下）」）。本来は全20巻で構成されているが、本資料は一部が上中下巻に分割されており全30巻となっている。前編は主人公仲忠を中心にした音楽伝承とあて宮を中心とした求婚物語で、後編は玄太子をめぐって左大臣、右大臣の実権争いを描く政治物語である。', '言語（ISO639-2）: jpn', 'タイトル注記: 宇津保物語', '大きさ、容量等: 27.2 × 18.4 cm', '「各巻タイトル」は表紙のタイトルではなく、表紙裏の注記による。', 'ID: R100000094_I583837']",
https://jpsearch.go.jp/data/adeac-R100000094_I583838,宇津保物語 第７巻 吹上（上） : 宇津保物語,"['宇津保物語 第７巻 吹上（上） : 宇津保物語', 'Utsuho monogatari dai ７ kan fukiage jou : utsuho monogatari', 'ウツホ モノガタリ ダイ ７ カン フキアゲ ジョウ : ウツホ モノガタリ']","['資料の分類: 秋田県立図書館所蔵貴重資料－和装本', '資料・資料群名: 秋田県立図書館所蔵貴重資料', '平安時代中期頃（原典は970年ころ）に成立した、日本文学史上で最も古いといわれる長編物語。著者は不明。物語は以下の2編6部構成の順に進行してゆく（前編：第1部「俊蔭」「藤原の君」「忠こそ」、第2部「嵯峨院」「梅の花笠」「吹上（上）」「吹上（下）」「祭の使」「菊の宴」「あて宮」、第3部「初秋」「田鶴の村鳥」。後編：第1部「蔵開（上）」「蔵開（中）」「蔵開（下）」、第2部「国譲（上）」「国譲（中）」「国譲（下）」、第3部「楼の上（上）」「楼の上（下）」）。本来は全20巻で構成されているが、本資料は一部が上中下巻に分割されており全30巻となっている。前編は主人公仲忠を中心にした音楽伝承とあて宮を中心とした求婚物語で、後編は玄太子をめぐって左大臣、右大臣の実権争いを描く政治物語である。', 'ID: R100000094_I583838', 'カテゴリ名: 古文書', '資料種別: 和古書', 'タイトル注記: 宇津保物語', '言語（ISO639-2）: jpn', '大きさ、容量等: 27.2 × 18.4 cm', '出版、掲載、放映を希望する場合は要連絡', '「各巻タイトル」は表紙のタイトルではなく、表紙裏の注記による。']",
