Rank,Bi-gram,Bi-Count,Tri-gram,Tri-Count,Tetra-gram,Tetra-Count,Penta-gram,Penta-Count
164,本朝,17,大成抄,9,うふりゃ,7,田合戦女舞,5
165,軍記,17,奥州安,9,ふりゃく,7,合戦女舞鶴,5
166,系図,17,州安達,9,大日本撰,6,国舶旗図譜,5
167,敵討,17,安達原,9,日本撰釋,6,天瓢斎書画,5
168,稽古,17,仮名手,9,本撰釋迦,6,瓢斎書画落,5
169,けい,17,傾城阿,9,撰釋迦譜,6,斎書画落款,5
170,よし,17,小野道,9,檀森斎石,6,譜／壱越調,5
171,古譜,17,野道風,9,森斎石譜,6,菊譜百詠図,5
172,款譜,17,紫巌譜,9,種茶譜略,6,時宗要略譜,5
173,盤渉,17,巌譜略,9,史譜7巻,6,採桑老舞譜,5
174,壱越,17,太鼓譜,9,蟲譜3巻,6,大坪本流善,5
175,大意,17,都々逸,9,窠蟹譜2,6,坪本流善御,5
176,意抄,17,中山世,9,蟹譜2編,6,本流善御譜,5
177,迦譜,16,山世譜,9,譜2編5,6,篳篥仮名譜,5
178,浪華,16,東音譜,9,2編5巻,6,琴曲洋峨／,5
179,玉堂,16,音楽紀,9,日本介譜,6,曲洋峨／撫,5
180,仮面,16,楽紀聞,9,平陽汪氏,6,琴学大意抄,5
181,面譜,16,書画落,9,陽汪氏九,6,〔観世謡本,5
182,南譜,16,画落款,9,汪氏九十,6,観世謡本〕,5
183,嶋譜,16,曲仮名,9,氏九十一,6,観世流謡本,5
184,韻譜,16,救荒本,9,九十一世,6,西皮工尺譜,5
185,奥州,16,荒本草,9,十一世支,6,工尺譜上;,5
186,小町,16,本草救,9,一世支譜,6,萬象寫眞圖,4
187,津絵,16,草救荒,9,世支譜2,6,象寫眞圖譜,4
188,渉調,16,救荒埜,9,常磐津節,6,旧儀装飾十,4
189,楽略,16,荒埜譜,9,磐津節正,6,飾十六式図,4
190,風俗,16,埜譜巻,9,津節正本,6,東皐琴譜1,4
191,いせ,16,狂言記,9,小栗判官,6,皐琴譜10,4
192,一節,16,譜目録,8,長唄正本,6,琴譜10巻,4
193,譜録,15,南海包,8,群賢押譜,6,千蟲譜3巻,4
194,求古,15,海包譜,8,南山小譜,6,武口王氏統,4
195,草木,15,押譜6,8,和歌師資,6,口王氏統宗,4
196,紙譜,15,譜6巻,8,歌師資相,6,王氏統宗世,4
197,0巻,15,神器譜,8,許氏説文,6,氏統宗世譜,4
198,譜大,15,間鐘梅,8,氏説文解,6,統宗世譜不,4
199,和歌,15,鐘梅枝,8,文解字五,6,宗世譜不分,4
200,手習,15,柳営譜,8,解字五音,6,世譜不分卷,4
