Rank,Last2 (1字+譜),Last3 (2字+譜),Last4 (3字+譜),Last5 (4字+譜),Last6 (5字+譜),Last7 (6字+譜),Last8 (7字+譜),Last9 (8字+譜)
31,本譜 (59),筆画譜 (43),高氏家譜 (31),倉将軍家譜 (19),花卉介虫図譜 (11),山大徳禅寺世譜 (7),歸安縣市鎭氏宗譜 (5),似顔大全藤川家系譜 (2)
32,箏譜 (57),越雪譜 (42),名家画譜 (30),池田氏系譜 (19),月旦衆評泉譜 (11),大日本撰釋迦譜 (6),休寧西門汪氏族譜 (5),伊勢国朝明郡内菌譜 (2)
33,雅譜 (54),千虫譜 (40),調子曲譜 (29),博物館魚譜 (19),威義二公年譜 (11),而翕湮解剖図譜 (6),定興鹿氏續修家譜 (5),吉田平九郎先生介譜 (2)
34,世譜 (48),箏雅譜 (40),名数画譜 (28),編古玉圖譜 (18),陽川孫氏宗譜 (11),山馬湖傅氏宗譜 (6),潤州曹氏重修宗譜 (5),類鰈鮫類漁貝類図譜 (2)
35,雪譜 (47),物画譜 (39),金生樹譜 (28),洞劉氏宗譜 (17),鈴屋翁略年譜 (11),氏九十一世支譜 (6),天瓢斎書画落款譜 (5),日光産木類写生図譜 (2)
36,秘譜 (46),荒野譜 (39),叢木画譜 (28),斎道中画譜 (16),名人蘭竹画譜 (11),無間鐘梅枝伝譜 (6),顔大全中村家系譜 (4),井光村伊藤起立系譜 (2)
37,蘭譜 (46),公年譜 (39),八雲琴譜 (28),竜笛仮名譜 (16),弘法大師年譜 (11),文解字五音韻譜 (6),顔大全高島家系譜 (4),林谷山人帰去来印譜 (2)
38,之譜 (46),木花譜 (38),公御年譜 (28),松老人年譜 (15),梅竹蘭菊四譜 (11),弘法大師弟子譜 (6),大全小佐川家系譜 (4),譜並大嘗会田舞歌譜 (2)
39,泉譜 (45),花押譜 (36),道中画譜 (27),竜笛要録譜 (15),日本美術図譜 (11),六調子曲仮名譜 (6),顔大全吾妻家系譜 (4),蘇合香万秋楽仮名譜 (2)
40,野譜 (44),木画譜 (35),錦窠菌譜 (27),佐守家家譜 (15),開手一筆画譜 (11),脈先生狂詩画譜 (5),顔大全中島家系譜 (4),下只拍子譜并三皷譜 (2)
41,八譜 (37),蝶画譜 (34),窠羊歯譜 (27),樹先生年譜 (14),玄対先生画譜 (10),六歌仙貝合画譜 (5),中村天王寺家系譜 (4),万歳楽鳥破只拍子譜 (2)
42,菊譜 (36),目八譜 (34),田氏系譜 (27),茶人大系譜 (14),省亭花鳥画譜 (10),一白圃艸木画譜 (5),武口王氏統宗世譜 (4),調々子譜及催馬楽譜 (2)
43,算譜 (36),鳳画譜 (33),和尚年譜 (26),都金工名譜 (13),外集2卷年譜 (10),安縣市鎭氏宗譜 (5),秀康卿行状並系譜 (4),万秋楽春鶯囀皇麞譜 (2)
44,歌譜 (35),家画譜 (33),水谷禽譜 (26),実写真図譜 (13),和漢稀世泉譜 (10),寧西門汪氏族譜 (5),大坂新町遊女名譜 (4),応僧正泊如和尚年譜 (2)
45,案譜 (33),御家譜 (32),金銀銭譜 (26),山何氏宗譜 (13),鐫草本花詩譜 (10),興鹿氏續修家譜 (5),川館蔵書画落款譜 (4),陽軍鑑合戦之巻略譜 (2)
46,鳥譜 (30),氏魚譜 (32),桂園竹譜 (26),雲公御年譜 (13),鐫木本花鳥譜 (10),州曹氏重修宗譜 (5),支那画家落款印譜 (4),家忠公孫花山院系譜 (2)
47,石譜 (29),師年譜 (32),考古画譜 (25),黒田續家譜 (12),氏南徐派宗譜 (9),瓢斎書画落款譜 (5),明清名家巾箱画譜 (4),劇作家玉城朝薫家譜 (2)
48,物譜 (29),水画譜 (31),唐詩畫譜 (25),順天堂算譜 (12),一休和尚年譜 (9),大坪本流善御譜 (5),太守大慈院君年譜 (4),香及黄鐘調盤渉調譜 (2)
49,瓦譜 (29),職図譜 (31),文鳳画譜 (24),栗氏千虫譜 (11),垣内翁略年譜 (9),大全中村家系譜 (4),組合会釈器物名譜 (3),文音對捷要真伝琴譜 (2)
50,舞譜 (29),中画譜 (29),草木性譜 (24),卉介虫図譜 (11),増補考古画譜 (9),大和家坂東系譜 (4),儀装飾十六式図譜 (3),内蔵頭治政以来系譜 (2)
51,篥譜 (28),雅楽譜 (29),斎書画譜 (23),旦衆評泉譜 (11),六言唐詩畫譜 (9),三河屋市川系譜 (4),太師徽國文公年譜 (3),楽祝詞之次第笛之譜 (2)
52,樹譜 (28),子曲譜 (29),啓蒙図譜 (23),大窪動物譜 (11),元倣古今畫譜 (9),大全高島家系譜 (4),軍鑑合戦之巻畧譜 (3),新田徳川世良田家譜 (2)
53,歯譜 (27),数画譜 (28),東皐琴譜 (23),義二公年譜 (11),雲選名公扇譜 (9),全小佐川家系譜 (4),柳瀬合戦前後略譜 (3),西独度涅烏斯草木譜 (2)
54,琶譜 (27),古瓦譜 (28),春山魚譜 (23),川孫氏宗譜 (11),伊達世臣家譜 (9),大全吾妻家系譜 (4),尾治宿禰田島系譜 (3),滿國師雲居和尚年譜 (2)
55,性譜 (24),生樹譜 (28),萬姓統譜 (23),神君御年譜 (11),1巻救荒野譜 (9),大全中島家系譜 (4),蘇合香三帖破急譜 (3),日本全圖暗射指南譜 (2)
56,躅譜 (23),雲琴譜 (28),社盟算譜 (23),屋翁略年譜 (11),卍翁艸筆画譜 (8),村天王寺家系譜 (4),六調子及高麗曲譜 (3),福開山聖一國師年譜 (2)
57,茶譜 (22),詩畫譜 (28),井伊年譜 (22),人蘭竹画譜 (11),万象写真図譜 (8),口王氏統宗世譜 (4),僧正泊如和尚年譜 (3),初学天文指南並雪譜 (2)
58,鼓譜 (22),堂画譜 (27),劉氏宗譜 (22),法大師年譜 (11),救荒草品図譜 (8),紫巌印章花押譜 (4),祝詞之次第笛之譜 (3),新製五七言狂詩画譜 (2)
59,子譜 (22),石画譜 (27),写真図譜 (21),森寺藩臣譜 (11),達家世臣家譜 (8),康卿行状並系譜 (4),独度涅烏斯草木譜 (3),類聚助語二百義字譜 (2)
